Source,Location ID,City,State,Country,Latitude,Longitude,Time Zone,Elevation,Local Time Zone,Clearsky DHI Units,Clearsky DNI Units,Clearsky GHI Units,Dew Point Units,DHI Units,DNI Units,GHI Units,Solar Zenith Angle Units,Temperature Units,Pressure Units,Relative Humidity Units,Precipitable Water Units,Wind Direction Units,Wind Speed Units,Cloud Type -15,Cloud Type 0,Cloud Type 1,Cloud Type 2,Cloud Type 3,Cloud Type 4,Cloud Type 5,Cloud Type 6,Cloud Type 7,Cloud Type 8,Cloud Type 9,Cloud Type 10,Cloud Type 11,Cloud Type 12,Fill Flag 0,Fill Flag 1,Fill Flag 2,Fill Flag 3,Fill Flag 4,Fill Flag 5,Surface Albedo Units,Version
NSRDB,1984360,-,-,-,-19.39,-40.06,-3,28,-3,w/m2,w/m2,w/m2,c,w/m2,w/m2,w/m2,Degree,c,mbar,%,cm,Degrees,m/s,N/A,Clear,Probably Clear,Fog,Water,Super-Cooled Water,Mixed,Opaque Ice,Cirrus,Overlapping,Overshooting,Unknown,Dust,Smoke,N/A,Missing Image,Low Irradiance,Exceeds Clearsky,Missing CLoud Properties,Rayleigh Violation,N/A,v3.2.2
Year,Month,Day,Hour,Minute,Temperature,Clearsky DHI,Clearsky DNI,Clearsky GHI,Cloud Type,Dew Point,DHI,DNI,Fill Flag,GHI,Relative Humidity,Solar Zenith Angle,Surface Albedo,Pressure,Precipitable Water,Wind Direction,Wind Speed
2018,1,1,0,0,24.5,0,0,0,6,23.900000000000002,0,0,0,0,96.48,137.41,0.16,1010,5.9,19,1.2000000000000002
2018,1,1,0,30,24.400000000000002,0,0,0,6,23.900000000000002,0,0,0,0,96.96000000000001,136.11,0.16,1009,5.800000000000001,16,1.3
2018,1,1,1,0,24.3,0,0,0,6,23.900000000000002,0,0,0,0,97.45,133.69,0.16,1009,5.800000000000001,13,1.4000000000000001
2018,1,1,1,30,24.3,0,0,0,6,23.900000000000002,0,0,0,0,97.45,130.29,0.16,1009,5.800000000000001,11,1.4000000000000001
2018,1,1,2,0,24.3,0,0,0,6,23.8,0,0,0,0,97.05,126.11,0.16,1009,5.7,10,1.5
2018,1,1,2,30,24.3,0,0,0,8,23.8,0,0,0,0,97.05,121.32000000000001,0.16,1009,5.6000000000000005,9,1.5
2018,1,1,3,0,24.3,0,0,0,8,23.700000000000003,0,0,0,0,96.56,116.05,0.16,1009,5.6000000000000005,8,1.5
2018,1,1,3,30,24.200000000000003,0,0,0,8,23.700000000000003,0,0,0,0,97.14,110.41,0.16,1009,5.5,4,1.6
2018,1,1,4,0,24.1,0,0,0,7,23.6,0,0,0,0,97.24000000000001,104.48,0.16,1009,5.5,1,1.6
2018,1,1,4,30,24.1,0,0,0,7,23.6,0,0,0,0,97.24000000000001,98.33,0.16,1009,5.4,178,1.6
2018,1,1,5,0,24.1,0,0,0,7,23.6,0,0,33,0,96.97,92.01,0.16,1009,5.4,355,1.6
2018,1,1,5,30,24.200000000000003,31,194,47,7,23.6,29,32,100,32,96.48,85.39,0.16,1010,5.4,353,1.6
2018,1,1,6,0,24.3,56,441,141,4,23.6,72,166,67,104,96.16,78.91,0.16,1010,5.4,351,1.6
2018,1,1,6,30,24.5,73,596,254,7,23.6,111,296,0,201,95.02,72.28,0.16,1010,5.4,350,1.6
2018,1,1,7,0,24.8,82,703,373,7,23.700000000000003,170,249,0,273,93.82000000000001,65.57000000000001,0.16,1010,5.4,349,1.6
2018,1,1,7,30,25.200000000000003,91,774,492,8,23.700000000000003,227,194,0,328,91.62,58.79,0.16,1010,5.300000000000001,349,1.6
2018,1,1,8,0,25.6,97,828,607,7,23.700000000000003,263,359,0,484,89.06,51.97,0.16,1010,5.300000000000001,349,1.6
