Source,Location ID,City,State,Country,Latitude,Longitude,Time Zone,Elevation,Local Time Zone,Clearsky DHI Units,Clearsky DNI Units,Clearsky GHI Units,Dew Point Units,DHI Units,DNI Units,GHI Units,Solar Zenith Angle Units,Temperature Units,Pressure Units,Relative Humidity Units,Precipitable Water Units,Wind Direction Units,Wind Speed Units,Cloud Type -15,Cloud Type 0,Cloud Type 1,Cloud Type 2,Cloud Type 3,Cloud Type 4,Cloud Type 5,Cloud Type 6,Cloud Type 7,Cloud Type 8,Cloud Type 9,Cloud Type 10,Cloud Type 11,Cloud Type 12,Fill Flag 0,Fill Flag 1,Fill Flag 2,Fill Flag 3,Fill Flag 4,Fill Flag 5,Surface Albedo Units,Version
NSRDB,1984360,-,-,-,-19.39,-40.06,-3,28,-3,w/m2,w/m2,w/m2,c,w/m2,w/m2,w/m2,Degree,c,mbar,%,cm,Degrees,m/s,N/A,Clear,Probably Clear,Fog,Water,Super-Cooled Water,Mixed,Opaque Ice,Cirrus,Overlapping,Overshooting,Unknown,Dust,Smoke,N/A,Missing Image,Low Irradiance,Exceeds Clearsky,Missing CLoud Properties,Rayleigh Violation,N/A,v3.2.2
Year,Month,Day,Hour,Minute,Temperature,Clearsky DHI,Clearsky DNI,Clearsky GHI,Cloud Type,Dew Point,DHI,DNI,Fill Flag,GHI,Relative Humidity,Solar Zenith Angle,Surface Albedo,Pressure,Precipitable Water,Wind Direction,Wind Speed
2020,1,1,0,0,22.8,0,0,0,0,22,0,0,0,0,95.11,137.36,0.16,1009,4.1000000000000005,30,1.2000000000000002
2020,1,1,0,30,22.700000000000003,0,0,0,0,22,0,0,0,0,95.69,136.06,0.16,1009,4.1000000000000005,28,1.2000000000000002
2020,1,1,1,0,22.700000000000003,0,0,0,0,22.1,0,0,0,0,96.19,133.63,0.16,1008,4.2,27,1.2000000000000002
2020,1,1,1,30,22.6,0,0,0,0,22.1,0,0,0,0,96.77,130.23,0.16,1008,4.2,26,1.2000000000000002
2020,1,1,2,0,22.6,0,0,0,0,22.1,0,0,0,0,97.24000000000001,126.05,0.16,1008,4.2,25,1.2000000000000002
2020,1,1,2,30,22.5,0,0,0,0,22.1,0,0,0,0,97.83,121.25,0.16,1008,4.3,26,1.2000000000000002
2020,1,1,3,0,22.5,0,0,0,0,22.200000000000003,0,0,0,0,98.16,115.98,0.16,1008,4.3,27,1.2000000000000002
2020,1,1,3,30,22.6,0,0,0,0,22.200000000000003,0,0,0,0,97.57000000000001,110.34,0.16,1008,4.3,29,1.3
2020,1,1,4,0,22.6,0,0,0,0,22.200000000000003,0,0,0,0,97.69,104.41,0.16,1008,4.3,30,1.3
2020,1,1,4,30,22.8,0,0,0,0,22.200000000000003,0,0,0,0,96.51,98.27,0.16,1008,4.3,32,1.4000000000000001
2020,1,1,5,0,23,0,0,0,0,22.3,0,0,0,0,95.73,91.94,0.16,1009,4.4,34,1.5
2020,1,1,5,30,23.400000000000002,33,181,48,0,22.3,33,181,0,48,93.45,85.32000000000001,0.16,1009,4.4,35,1.7000000000000002
2020,1,1,6,0,23.900000000000002,60,426,142,0,22.400000000000002,60,426,0,142,91.27,78.84,0.16,1009,4.4,36,1.8
2020,1,1,6,30,24.5,77,583,255,0,22.400000000000002,77,583,0,255,88.06,72.22,0.16,1009,4.4,35,1.9000000000000001
