Timestamp,kW
2022-10-07 18:30:00,0.047
2022-10-07 19:00:00,0.0
2022-10-08 06:00:00,0.089
2022-10-08 06:30:00,0.357
2022-10-08 07:00:00,0.788
2022-10-08 07:30:00,1.305
2022-10-08 08:00:00,1.944
2022-10-08 08:30:00,1.174
2022-10-08 09:00:00,1.02
2022-10-08 09:30:00,4.26
2022-10-08 10:00:00,3.806
2022-10-08 10:30:00,4.028
2022-10-08 11:00:00,4.346
2022-10-08 11:30:00,4.541
2022-10-08 12:00:00,3.998
2022-10-08 12:30:00,4.023
2022-10-08 13:00:00,3.914
2022-10-08 13:30:00,3.685
2022-10-08 14:00:00,0.867
2022-10-08 14:30:00,3.276
2022-10-08 15:00:00,2.392
2022-10-08 15:30:00,1.853
2022-10-08 16:00:00,1.279
2022-10-08 16:30:00,0.588
2022-10-08 17:00:00,0.233
2022-10-08 17:30:00,0.102
2022-10-08 18:00:00,0.047
2022-10-08 18:30:00,0.047
2022-10-08 19:00:00,0.0
2022-10-09 06:00:00,0.175
2022-10-09 06:30:00,0.5
2022-10-09 07:00:00,0.884
2022-10-09 07:30:00,1.118
2022-10-09 08:00:00,1.944
2022-10-09 08:30:00,1.174
2022-10-09 09:00:00,1.02
2022-10-09 09:30:00,4.26
2022-10-09 10:00:00,3.806
2022-10-09 10:30:00,4.028
2022-10-09 11:00:00,4.346
2022-10-09 11:30:00,4.541
2022-10-09 12:00:00,3.998
2022-10-09 12:30:00,4.023
2022-10-09 13:00:00,3.914
2022-10-09 13:30:00,3.685
2022-10-09 14:00:00,0.867
2022-10-09 14:30:00,3.276
2022-10-09 15:00:00,2.392
2022-10-09 15:30:00,1.853
2022-10-09 16:00:00,1.279
2022-10-09 16:30:00,0.588
2022-10-09 17:00:00,0.233
2022-10-09 17:30:00,0.102
2022-10-09 18:00:00,0.047
2022-10-09 18:30:00,0.047
2022-10-09 19:00:00,0.0
2022-10-10 06:00:00,0.248
2022-10-10 06:30:00,0.213
2022-10-10 07:00:00,0.485
2022-10-10 07:30:00,0.75
2022-10-10 08:00:00,0.96
2022-10-10 08:30:00,1.144
2022-10-10 09:00:00,0.929
2022-10-10 09:30:00,1.433
2022-10-10 10:00:00,1.238
2022-10-10 10:30:00,2.369
2022-10-10 11:00:00,1.222
2022-10-10 11:30:00,1.7
2022-10-10 12:00:00,4.524
2022-10-10 12:30:00,1.297
2022-10-10 13:00:00,1.585
2022-10-10 13:30:00,3.669
2022-10-10 14:00:00,1.074
2022-10-10 14:30:00,2.668
2022-10-10 15:00:00,2.241
2022-10-10 15:30:00,1.586
2022-10-10 16:00:00,1.057
2022-10-10 16:30:00,0.534
2022-10-10 17:00:00,0.229
2022-10-10 17:30:00,0.084
2022-10-10 18:00:00,0.047
2022-10-10 18:30:00,0.047
2022-10-10 19:00:00,0.0
2022-10-11 06:00:00,0.248
2022-10-11 06:30:00,0.323
2022-10-11 07:00:00,0.772
2022-10-11 07:30:00,1.518
2022-10-11 08:00:00,1.073
2022-10-11 08:30:00,1.428
2022-10-11 09:00:00,1.52
2022-10-11 09:30:00,1.265
2022-10-11 10:00:00,3.844
2022-10-11 10:30:00,0.983
2022-10-11 11:00:00,2.364
2022-10-11 11:30:00,3.046
2022-10-11 12:00:00,4.336
2022-10-11 12:30:00,3.965
2022-10-11 13:00:00,3.744
2022-10-11 13:30:00,3.652
2022-10-11 14:00:00,3.193
2022-10-11 14:30:00,2.783
2022-10-11 15:00:00,2.362
2022-10-11 15:30:00,1.843
2022-10-11 16:00:00,1.254
2022-10-11 16:30:00,0.533
2022-10-11 17:00:00,0.219
2022-10-11 17:30:00,0.099
2022-10-11 18:00:00,0.051
2022-10-11 18:30:00,0.048
2022-10-11 19:00:00,0.0
2022-10-12 06:00:00,0.22
2022-10-12 06:30:00,0.419
2022-10-12 07:00:00,0.959
2022-10-12 07:30:00,0.884
2022-10-12 08:00:00,2.169
2022-10-12 08:30:00,0.893
2022-10-12 09:00:00,1.459
2022-10-12 09:30:00,4.771
2022-10-12 10:00:00,3.147
2022-10-12 10:30:00,1.416
2022-10-12 11:00:00,4.268
2022-10-12 11:30:00,4.623
2022-10-12 12:00:00,4.185
2022-10-12 12:30:00,1.258
2022-10-12 13:00:00,1.39
2022-10-12 13:30:00,3.646
2022-10-12 14:00:00,3.269
2022-10-12 14:30:00,2.867
2022-10-12 15:00:00,2.323
2022-10-12 15:30:00,1.798
2022-10-12 16:00:00,0.94
2022-10-12 16:30:00,0.526
2022-10-12 17:00:00,0.201
2022-10-12 17:30:00,0.089
2022-10-12 18:00:00,0.048
2022-10-12 18:30:00,0.048
2022-10-12 19:00:00,0.0
2022-10-13 06:00:00,0.208
2022-10-13 06:30:00,0.335
2022-10-13 07:00:00,0.909
2022-10-13 07:30:00,2.108
2022-10-13 08:00:00,1.09
2022-10-13 08:30:00,3.501
