Date,Capacity(kW),Generation(kWh),Income
2024-06-16,97.01,243.7,229.08
2024-06-17,97.01,156.6,147.2
2024-06-18,97.01,183.0,172.02
2024-06-19,97.01,255.5,240.17
2024-06-20,97.01,162.9,153.13
2024-06-21,97.01,273.3,256.9
2024-06-22,97.01,219.1,205.95
2024-06-23,97.01,256.6,241.2
2024-06-24,97.01,281.8,264.89
2024-06-25,97.01,334.2,314.15
2024-06-26,97.01,273.6,257.18
2024-06-27,97.01,264.2,248.35
2024-06-28,97.01,264.1,248.25
2024-06-29,97.01,0.0,0.0
2024-06-30,97.01,0.0,0.0
2024-07-01,97.01,138.4,130.1
2024-07-02,97.01,77.4,72.76
2024-07-03,97.01,107.8,101.33
2024-07-04,97.01,310.3,291.68
2024-07-05,97.01,297.3,279.46
2024-07-06,97.01,304.2,285.95
2024-07-07,97.01,275.6,259.06
2024-07-08,97.01,334.8,314.71
2024-07-09,97.01,254.2,238.95
2024-07-10,97.01,294.4,276.74
2024-07-11,97.01,315.3,296.38
2024-07-12,97.01,244.5,229.83
2024-07-13,97.01,0.0,0.0
2024-07-14,97.01,143.8,135.17
2024-07-15,97.01,338.0,317.72
2024-07-16,97.01,287.5,270.25
2024-07-17,97.01,305.8,287.45
2024-07-18,97.01,337.3,317.06
2024-07-19,97.01,358.0,336.52
2024-07-20,97.01,326.6,307.0
2024-07-21,97.01,167.9,157.83
2024-07-22,97.01,312.4,293.66
2024-07-23,97.01,303.5,285.29
2024-07-24,97.01,270.4,254.18
2024-07-25,97.01,268.1,252.01
2024-07-26,97.01,255.8,240.45
2024-07-27,97.01,0.0,0.0
2024-07-28,97.01,157.4,147.96
2024-07-29,97.01,357.9,336.43
2024-07-30,97.01,216.2,203.23
2024-07-31,97.01,274.3,257.84
2024-08-01,97.01,270.7,254.46
2024-08-02,97.01,75.5,70.97
2024-08-03,97.01,256.6,241.2
2024-08-04,97.01,240.6,226.16
2024-08-05,97.01,334.0,313.96
2024-08-06,97.01,323.0,303.62
2024-08-07,97.01,315.0,296.1
2024-08-08,97.01,403.1,378.91
2024-08-09,97.01,389.1,365.75
2024-08-10,97.01,375.8,353.25
2024-08-11,97.01,212.5,199.75
2024-08-12,97.01,155.8,146.45
2024-08-13,97.01,272.6,256.24
2024-08-14,97.01,322.9,303.53
2024-08-15,97.01,295.7,277.96
2024-08-16,97.01,383.3,360.3
2024-08-17,97.01,383.5,360.49
2024-08-18,97.01,403.3,379.1
2024-08-19,97.01,373.6,351.18
2024-08-20,97.01,429.5,403.73
2024-08-21,97.01,307.6,289.14
2024-08-22,97.01,209.2,196.65
2024-08-23,97.01,325.4,305.88
2024-08-24,97.01,401.7,377.6
2024-08-25,97.01,362.6,340.84
2024-08-26,97.01,268.7,252.58
2024-08-27,97.01,57.4,53.96
2024-08-28,97.01,77.8,73.13
2024-08-29,97.01,328.5,308.79
2024-08-30,97.01,426.9,401.29
2024-08-31,97.01,420.3,395.08
2024-09-01,97.01,411.7,387.0
2024-09-02,97.01,433.2,407.21
2024-09-03,97.01,344.4,323.74
2024-09-04,97.01,308.8,290.27
2024-09-05,97.01,307.6,289.14
2024-09-06,97.01,128.1,120.41
2024-09-07,97.01,321.8,302.49
2024-09-08,97.01,287.5,270.25
2024-09-09,97.01,160.4,150.78
2024-09-10,97.01,388.6,365.28
2024-09-11,97.01,211.8,199.09
2024-09-12,97.01,371.7,349.4
2024-09-13,97.01,393.2,369.61
2024-09-14,97.01,314.4,295.54
2024-09-15,97.01,356.0,334.64
2024-09-16,97.01,380.6,357.76
2024-09-17,97.01,112.0,105.28
2024-09-18,97.01,149.6,140.62
2024-09-19,97.01,304.4,286.14
2024-09-20,97.01,262.5,246.75
2024-09-21,97.01,314.2,295.35
2024-09-22,97.01,384.3,361.24
2024-09-23,97.01,408.5,383.99
2024-09-24,97.01,214.6,201.72
2024-09-25,97.01,416.5,391.51
2024-09-26,97.01,207.7,195.24
2024-09-27,97.01,438.0,411.72
2024-09-28,97.01,275.1,258.59
2024-09-29,97.01,226.2,212.63
2024-09-30,97.01,333.1,313.11
2024-10-01,97.01,231.4,217.52
2024-10-02,97.01,469.9,441.71
2024-10-03,97.01,401.1,377.03
2024-10-04,97.01,296.6,278.8
2024-10-05,97.01,312.0,293.28
2024-10-06,97.01,508.5,477.99
2024-10-07,97.01,334.3,314.24
2024-10-08,97.01,347.9,327.03
2024-10-09,97.01,411.8,387.09
2024-10-10,97.01,83.4,78.4
2024-10-11,97.01,190.0,178.6
2024-10-12,97.01,355.6,334.26
2024-10-13,97.01,371.0,348.74
2024-10-14,97.01,377.1,354.47
2024-10-15,97.01,385.6,362.46
2024-10-16,97.01,379.0,356.26
2024-10-17,97.01,485.9,456.75
2024-10-18,97.01,419.3,394.14
2024-10-19,97.01,485.1,455.99
2024-10-20,97.01,273.9,257.47
2024-10-21,97.01,144.2,135.55
2024-10-22,97.01,372.5,350.15
2024-10-23,97.01,421.4,396.12
2024-10-24,97.01,459.4,431.84
2024-10-25,97.01,468.3,440.2
2024-10-26,97.01,505.3,474.98
2024-10-27,97.01,193.9,182.27
2024-10-28,97.01,237.2,222.97
2024-10-29,97.01,114.2,107.35
2024-10-30,97.01,97.8,91.93
2024-10-31,97.01,253.6,238.38
2024-11-01,97.01,340.3,319.88
2024-11-02,97.01,315.9,296.95
2024-11-03,97.01,292.5,274.95
2024-11-04,97.01,286.2,269.03
2024-11-05,97.01,117.0,109.98
2024-11-06,97.01,326.4,306.82
2024-11-07,97.01,434.8,408.71
2024-11-08,97.01,378.8,356.07
2024-11-09,97.01,302.7,284.54
2024-11-10,97.01,427.0,401.38
2024-11-11,97.01,329.6,309.82
2024-11-12,97.01,580.5,545.67
2024-11-13,97.01,407.8,383.33
2024-11-14,97.01,228.1,214.41
2024-11-15,97.01,361.8,340.09
2024-11-16,97.01,490.5,461.07
2024-11-17,97.01,283.6,266.58
2024-11-18,97.01,376.3,353.72
2024-11-19,97.01,402.9,378.73
2024-11-20,97.01,505.4,475.08
2024-11-21,97.01,288.0,270.72
2024-11-22,97.01,318.2,299.11
2024-11-23,97.01,116.7,109.7
2024-11-24,97.01,369.8,347.61
2024-11-25,97.01,461.6,433.9
2024-11-26,97.01,404.7,380.42
2024-11-27,97.01,542.3,509.76
2024-11-28,97.01,454.0,426.76
2024-11-29,97.01,462.3,434.56
2024-11-30,97.01,435.0,408.9
2024-12-01,97.01,359.1,337.55
2024-12-02,97.01,508.4,477.9
2024-12-03,97.01,527.5,495.85
2024-12-04,97.01,461.5,433.81
2024-12-05,97.01,444.2,417.55
2024-12-06,97.01,519.8,488.61
2024-12-07,97.01,562.6,528.84
2024-12-08,97.01,571.3,537.02
2024-12-09,97.01,492.9,463.33
2024-12-10,97.01,509.1,478.55
2024-12-11,97.01,137.0,128.78
2024-12-12,97.01,434.3,408.24
2024-12-13,97.01,353.7,332.48
2024-12-14,97.01,387.7,364.44
2024-12-15,97.01,361.3,339.62
2024-12-16,97.01,449.0,422.06
2024-12-17,97.01,143.6,134.98
2024-12-18,97.01,350.1,329.09
2024-12-19,97.01,388.4,365.1
2024-12-20,97.01,494.5,464.83
2024-12-21,97.01,357.4,335.96
2024-12-22,97.01,539.7,507.32
2024-12-23,97.01,329.2,309.45
2024-12-24,97.01,191.3,179.82
2024-12-25,97.01,262.9,247.13
2024-12-26,97.01,477.0,448.38
2024-12-27,97.01,513.5,482.69
2024-12-28,97.01,478.4,449.7
2024-12-29,97.01,321.6,302.3
2024-12-30,97.01,189.8,178.41
2024-12-31,97.01,321.5,302.21
2025-01-01,97.01,157.3,147.86
2025-01-02,97.01,399.7,375.72
2025-01-03,97.01,226.1,212.53
2025-01-04,97.01,191.6,180.1
2025-01-05,97.01,109.6,103.02
2025-01-06,97.01,384.8,361.71
2025-01-07,97.01,375.3,352.78
2025-01-08,97.01,390.4,366.98
2025-01-09,97.01,278.7,261.98
2025-01-10,97.01,241.6,227.1
2025-01-11,97.01,373.2,350.81
2025-01-12,97.01,429.3,403.54
2025-01-13,97.01,328.5,308.79
2025-01-14,97.01,175.9,165.35
2025-01-15,97.01,329.8,310.01
2025-01-16,97.01,415.2,390.29
2025-01-17,97.01,431.0,405.14
2025-01-18,97.01,516.7,485.7
2025-01-19,97.01,541.5,509.01
2025-01-20,97.01,485.8,456.65
2025-01-21,97.01,546.4,513.62
2025-01-22,97.01,509.2,478.65
2025-01-23,97.01,515.4,484.48
2025-01-24,97.01,345.7,324.96
2025-01-25,97.01,391.1,367.63
2025-01-26,97.01,165.1,155.19
2025-01-27,97.01,448.6,421.68
2025-01-28,97.01,473.9,445.47
2025-01-29,97.01,432.1,406.17
2025-01-30,97.01,501.6,471.5
2025-01-31,97.01,447.3,420.46
2025-02-01,97.01,491.9,462.39
2025-02-02,97.01,520.9,489.65
2025-02-03,97.01,502.9,472.73
2025-02-04,97.01,490.7,461.26
2025-02-05,97.01,493.8,464.17
2025-02-06,97.01,420.5,395.27
2025-02-07,97.01,358.0,336.52
2025-02-08,97.01,364.9,343.01
2025-02-09,97.01,435.6,409.46
2025-02-10,97.01,438.5,412.19
2025-02-11,97.01,388.1,364.81
2025-02-12,97.01,489.4,460.04
2025-02-13,97.01,403.5,379.29
2025-02-14,97.01,161.1,151.43
2025-02-15,97.01,485.5,456.37
2025-02-16,97.01,487.2,457.97
2025-02-17,97.01,499.9,469.91
2025-02-18,97.01,506.2,475.83
2025-02-19,97.01,492.8,463.23
2025-02-20,97.01,363.1,341.31
2025-02-21,97.01,236.4,222.22
2025-02-22,97.01,490.9,461.45
2025-02-23,97.01,449.6,422.62
2025-02-24,97.01,381.7,358.8
2025-02-25,97.01,438.0,411.72
2025-02-26,97.01,386.0,362.84
2025-02-27,97.01,445.8,419.05
2025-02-28,97.01,414.3,389.44
2025-03-01,97.01,451.3,424.22
2025-03-02,97.01,447.7,420.84
2025-03-03,97.01,373.9,351.47
2025-03-04,97.01,480.5,451.67
2025-03-05,97.01,470.6,442.36
2025-03-06,97.01,487.0,457.78
2025-03-07,97.01,531.3,499.42
2025-03-08,97.01,231.3,217.42
2025-03-09,97.01,385.9,362.75
2025-03-10,97.01,488.1,458.81
2025-03-11,97.01,409.1,384.55
2025-03-12,97.01,344.0,323.36
2025-03-13,97.01,413.1,388.31
2025-03-14,97.01,410.8,386.15
2025-03-15,97.01,406.9,382.49
2025-03-16,97.01,376.5,353.91
