Source,Location ID,City,State,Country,Latitude,Longitude,Time Zone,Elevation,Local Time Zone,Clearsky DHI Units,Clearsky DNI Units,Clearsky GHI Units,Dew Point Units,DHI Units,DNI Units,GHI Units,Solar Zenith Angle Units,Temperature Units,Pressure Units,Relative Humidity Units,Precipitable Water Units,Wind Direction Units,Wind Speed Units,Cloud Type -15,Cloud Type 0,Cloud Type 1,Cloud Type 2,Cloud Type 3,Cloud Type 4,Cloud Type 5,Cloud Type 6,Cloud Type 7,Cloud Type 8,Cloud Type 9,Cloud Type 10,Cloud Type 11,Cloud Type 12,Fill Flag 0,Fill Flag 1,Fill Flag 2,Fill Flag 3,Fill Flag 4,Fill Flag 5,Surface Albedo Units,Version
NSRDB,1984360,-,-,-,-19.39,-40.06,-3,28,-3,w/m2,w/m2,w/m2,c,w/m2,w/m2,w/m2,Degree,c,mbar,%,cm,Degrees,m/s,N/A,Clear,Probably Clear,Fog,Water,Super-Cooled Water,Mixed,Opaque Ice,Cirrus,Overlapping,Overshooting,Unknown,Dust,Smoke,N/A,Missing Image,Low Irradiance,Exceeds Clearsky,Missing CLoud Properties,Rayleigh Violation,N/A,v3.2.2
Year,Month,Day,Hour,Minute,Temperature,Clearsky DHI,Clearsky DNI,Clearsky GHI,Cloud Type,Dew Point,DHI,DNI,Fill Flag,GHI,Relative Humidity,Solar Zenith Angle,Surface Albedo,Pressure,Precipitable Water,Wind Direction,Wind Speed
2021,1,1,0,0,24,0,0,0,0,20.8,0,0,0,0,82.54,137.43,0.16,1010,2.8000000000000003,33,1.5
2021,1,1,0,30,23.900000000000002,0,0,0,0,20.8,0,0,0,0,83.04,136.14000000000001,0.16,1010,2.9000000000000004,32,1.5
2021,1,1,1,0,23.700000000000003,0,0,0,0,20.8,0,0,0,0,83.82000000000001,133.72,0.16,1010,2.9000000000000004,31,1.4000000000000001
2021,1,1,1,30,23.6,0,0,0,0,20.8,0,0,0,0,84.33,130.32,0.16,1010,3,30,1.3
2021,1,1,2,0,23.400000000000002,0,0,0,0,20.700000000000003,0,0,0,0,85.05,126.15,0.16,1010,3,29,1.2000000000000002
2021,1,1,2,30,23.3,0,0,0,0,20.700000000000003,0,0,0,0,85.56,121.35000000000001,0.16,1010,3,26,1.2000000000000002
2021,1,1,3,0,23.200000000000003,0,0,0,0,20.700000000000003,0,0,0,0,85.99,116.08,0.16,1010,3.1,23,1.1
2021,1,1,3,30,23.1,0,0,0,0,20.700000000000003,0,0,0,0,86.51,110.44,0.16,1010,3.1,20,1.1
2021,1,1,4,0,22.900000000000002,0,0,0,0,20.8,0,0,0,0,87.81,104.51,0.16,1010,3.1,17,1.1
2021,1,1,4,30,23,0,0,0,0,20.8,0,0,0,0,87.37,98.36,0.16,1011,3.1,15,1.2000000000000002
2021,1,1,5,0,23.1,0,0,0,0,20.900000000000002,0,0,0,0,87.51,92.04,0.16,1011,3,12,1.2000000000000002
2021,1,1,5,30,23.900000000000002,31,236,50,0,20.900000000000002,31,236,0,50,83.4,85.41,0.16,1011,3,12,1.5
2021,1,1,6,0,24.700000000000003,55,484,148,0,20.700000000000003,55,484,0,148,78.5,78.94,0.16,1011,3,12,1.8
2021,1,1,6,30,25.700000000000003,71,638,265,0,20.700000000000003,71,638,0,265,73.98,72.31,0.16,1011,2.9000000000000004,13,1.9000000000000001
2021,1,1,7,0,26.700000000000003,84,736,388,0,19.900000000000002,84,736,0,388,66.15,65.6,0.16,1011,2.9000000000000004,14,2.1
2021,1,1,7,30,27.5,93,805,510,0,19.900000000000002,93,805,0,510,63.13,58.82,0.16,1011,2.9000000000000004,15,2
2021,1,1,8,0,28.3,101,855,627,0,19.400000000000002,101,855,0,627,58.68,52,0.16,1011,2.9000000000000004,16,1.9000000000000001
2021,1,1,8,30,29,106,893,736,0,19.400000000000002,106,893,0,736,56.35,45.14,0.16,1011,2.9000000000000004,19,1.7000000000000002
2021,1,1,9,0,29.700000000000003,110,923,835,0,19.5,110,923,0,835,54.19,38.25,0.16,1011,2.9000000000000004,22,1.4000000000000001
2021,1,1,9,30,30.200000000000003,114,945,921,0,19.5,114,945,0,921,52.660000000000004,31.35,0.16,1011,2.9000000000000004,27,1.3
2021,1,1,10,0,30.8,116,961,991,0,19.5,116,961,0,991,51.09,24.46,0.16,1010,2.8000000000000003,32,1.2000000000000002
2021,1,1,10,30,31.3,119,971,1045,0,19.5,119,971,0,1045,49.660000000000004,17.59,0.16,1010,2.8000000000000003,39,1.2000000000000002
2021,1,1,11,0,31.700000000000003,123,976,1082,0,19.5,123,976,0,1082,48.410000000000004,10.84,0.16,1010,2.8000000000000003,45,1.2000000000000002
2021,1,1,11,30,32,125,976,1098,0,19.5,125,976,0,1098,47.550000000000004,4.82,0.16,1009,2.9000000000000004,51,1.3
2021,1,1,12,0,32.2,126,974,1096,0,19.700000000000003,126,974,0,1096,47.6,5.14,0.16,1009,2.9000000000000004,56,1.4000000000000001
2021,1,1,12,30,32.1,127,968,1076,0,19.700000000000003,141,888,0,1012,47.870000000000005,11.28,0.16,1009,2.9000000000000004,59,1.5
2021,1,1,13,0,32.1,128,955,1036,0,20,208,740,0,912,48.93,18.04,0.16,1008,3,61,1.6
2021,1,1,13,30,31.8,127,941,980,0,20,127,941,0,980,49.77,24.91,0.16,1008,3,62,1.7000000000000002
2021,1,1,14,0,31.6,126,920,908,0,20.3,126,920,0,908,51.34,31.810000000000002,0.16,1008,3,64,1.8
2021,1,1,14,30,31.200000000000003,118,902,822,0,20.3,118,902,0,822,52.52,38.71,0.16,1008,3,64,1.9000000000000001
2021,1,1,15,0,30.8,110,881,726,0,20.6,110,881,0,726,54.54,45.6,0.16,1008,3,64,2
2021,1,1,15,30,30.3,104,841,616,0,20.6,104,841,0,616,56.11,52.46,0.16,1008,3,63,2.1
2021,1,1,16,0,29.700000000000003,96,786,498,0,20.700000000000003,96,786,0,498,58.660000000000004,59.28,0.16,1008,3.1,62,2.2
2021,1,1,16,30,28.900000000000002,86,713,375,0,20.700000000000003,86,713,0,375,61.42,66.05,0.16,1008,3.1,61,2.3000000000000003
2021,1,1,17,0,28.200000000000003,73,610,254,0,21,73,610,0,254,64.84,72.76,0.16,1009,3.1,59,2.4000000000000004
2021,1,1,17,30,27.400000000000002,56,452,139,0,21,56,452,0,139,67.93,79.39,0.16,1009,3.1,58,2.3000000000000003
2021,1,1,18,0,26.700000000000003,30,200,44,0,21.200000000000003,30,200,0,44,72.03,85.85000000000001,0.16,1009,3.2,57,2.3000000000000003
2021,1,1,18,30,26.200000000000003,0,0,0,0,21.200000000000003,0,0,0,0,74.17,92.49,0.16,1009,3.2,56,2.2
2021,1,1,19,0,25.8,0,0,0,0,21.5,0,0,0,0,77.39,98.8,0.16,1010,3.2,54,2.1
2021,1,1,19,30,25.5,0,0,0,0,21.5,0,0,0,0,78.77,104.94,0.16,1010,3.3000000000000003,53,2
2021,1,1,20,0,25.3,0,0,0,0,21.8,0,0,0,0,80.81,110.85000000000001,0.16,1010,3.3000000000000003,51,1.9000000000000001
2021,1,1,20,30,25.3,0,0,0,0,21.8,0,0,0,0,80.81,116.48,0.16,1010,3.3000000000000003,51,1.9000000000000001
2021,1,1,21,0,24.900000000000002,0,0,0,0,21.900000000000002,0,0,67,0,83.60000000000001,121.73,0.16,1011,3.5,48,1.7000000000000002
2021,1,1,21,30,24.700000000000003,0,0,0,0,21.900000000000002,0,0,100,0,84.60000000000001,126.5,0.16,1011,3.5,46,1.6
2021,1,1,22,0,24.6,0,0,0,0,22,0,0,33,0,85.62,130.64000000000001,0.16,1010,3.6,44,1.5
2021,1,1,22,30,24.400000000000002,0,0,0,0,22,0,0,0,0,86.64,133.98,0.16,1010,3.6,42,1.5
2021,1,1,23,0,24.3,0,0,0,7,22.1,0,0,0,0,87.72,136.34,0.16,1010,3.7,40,1.4000000000000001
2021,1,1,23,30,24.200000000000003,0,0,0,8,22.1,0,0,0,0,88.24,137.56,0.16,1010,3.7,38,1.4000000000000001
2021,1,2,0,0,24.1,0,0,0,8,22.200000000000003,0,0,0,0,89.02,137.53,0.16,1010,3.8000000000000003,36,1.3
2021,1,2,0,30,24,0,0,0,8,22.200000000000003,0,0,0,0,89.46000000000001,136.25,0.16,1009,3.8000000000000003,35,1.3
2021,1,2,1,0,23.900000000000002,0,0,0,8,22.3,0,0,0,0,90.68,133.84,0.16,1009,3.8000000000000003,33,1.3
2021,1,2,1,30,23.8,0,0,0,7,22.3,0,0,0,0,91.22,130.46,0.16,1009,3.8000000000000003,32,1.2000000000000002
2021,1,2,2,0,23.6,0,0,0,7,22.5,0,0,0,0,93.28,126.28,0.16,1009,3.8000000000000003,30,1.2000000000000002
2021,1,2,2,30,23.5,0,0,0,8,22.5,0,0,0,0,93.84,121.49000000000001,0.16,1009,3.8000000000000003,28,1.2000000000000002
2021,1,2,3,0,23.400000000000002,0,0,0,7,22.6,0,0,0,0,95.25,116.22,0.16,1009,3.8000000000000003,27,1.1
2021,1,2,3,30,23.3,0,0,0,7,22.6,0,0,0,0,95.82000000000001,110.57000000000001,0.16,1009,3.8000000000000003,26,1.2000000000000002
2021,1,2,4,0,23.3,0,0,0,8,22.700000000000003,0,0,0,0,96.36,104.65,0.16,1009,3.8000000000000003,25,1.2000000000000002
2021,1,2,4,30,23.3,0,0,0,8,22.700000000000003,0,0,0,0,96.36,98.5,0.16,1009,3.7,25,1.3
2021,1,2,5,0,23.3,0,0,0,8,22.8,0,0,33,0,97.13,92.18,0.16,1009,3.7,25,1.4000000000000001
2021,1,2,5,30,23.8,31,215,48,0,22.8,31,181,33,45,94.35000000000001,85.54,0.16,1010,3.6,24,1.4000000000000001
2021,1,2,6,0,24.200000000000003,53,480,144,0,22.900000000000002,54,476,0,144,92.55,79.06,0.16,1010,3.6,23,1.5
2021,1,2,6,30,25,68,636,260,7,22.900000000000002,89,281,8,174,88.25,72.43,0.16,1010,3.6,22,1.5
2021,1,2,7,0,25.8,77,744,383,0,22,77,744,0,383,79.77,65.72,0.16,1010,3.5,20,1.5
2021,1,2,7,30,26.6,86,810,504,0,22,86,810,0,504,76.10000000000001,58.94,0.16,1010,3.5,22,1.4000000000000001
2021,1,2,8,0,27.400000000000002,93,858,620,0,21.1,109,794,0,597,68.39,52.11,0.16,1010,3.5,25,1.3
2021,1,2,8,30,28.1,97,897,729,0,21.1,97,897,0,729,65.66,45.25,0.16,1010,3.5,30,1.3
2021,1,2,9,0,28.8,97,932,828,0,20.700000000000003,97,932,0,828,61.49,38.36,0.16,1010,3.5,36,1.2000000000000002
2021,1,2,9,30,29.3,103,951,914,0,20.700000000000003,103,951,0,914,59.75,31.46,0.16,1010,3.4000000000000004,43,1.1
2021,1,2,10,0,29.8,107,964,984,0,20.700000000000003,107,964,0,984,58.02,24.560000000000002,0.16,1010,3.4000000000000004,49,1
2021,1,2,10,30,30.200000000000003,110,973,1037,0,20.6,110,973,0,1037,56.65,17.68,0.16,1009,3.4000000000000004,58,1
2021,1,2,11,0,30.6,114,978,1074,0,20.6,114,978,0,1074,55.07,10.92,0.16,1009,3.4000000000000004,66,1
2021,1,2,11,30,30.8,118,976,1091,0,20.6,118,976,0,1091,54.44,4.83,0.16,1009,3.4000000000000004,70,1.2000000000000002
2021,1,2,12,0,31,126,965,1087,0,20.400000000000002,126,965,0,1087,53.19,5,0.16,1008,3.5,73,1.3
2021,1,2,12,30,31,126,959,1067,0,20.400000000000002,126,959,0,1067,53.19,11.16,0.16,1008,3.5,74,1.4000000000000001
2021,1,2,13,0,31,127,947,1028,0,20.3,185,814,0,959,52.96,17.93,0.16,1008,3.6,74,1.6
2021,1,2,13,30,30.8,125,933,972,0,20.3,125,933,0,972,53.51,24.8,0.16,1007,3.7,75,1.6
2021,1,2,14,0,30.6,124,911,899,0,20.3,124,911,0,899,54.22,31.71,0.16,1007,3.8000000000000003,75,1.7000000000000002
2021,1,2,14,30,30.3,121,886,813,0,20.3,121,886,0,813,55.15,38.61,0.16,1007,3.9000000000000004,75,1.8
2021,1,2,15,0,29.900000000000002,116,852,713,0,20.400000000000002,116,852,0,713,56.71,45.5,0.16,1007,4,75,1.9000000000000001
2021,1,2,15,30,29.400000000000002,109,811,604,0,20.400000000000002,109,811,0,604,58.35,52.36,0.16,1007,4.1000000000000005,74,1.9000000000000001
2021,1,2,16,0,28.900000000000002,101,754,487,0,20.5,101,754,0,487,60.63,59.19,0.16,1007,4.2,72,2
2021,1,2,16,30,28.3,91,679,367,0,20.5,91,679,0,367,62.83,65.97,0.16,1008,4.3,70,2.1
2021,1,2,17,0,27.700000000000003,77,572,247,0,20.900000000000002,80,544,0,242,66.4,72.68,0.16,1008,4.4,68,2.1
2021,1,2,17,30,27.200000000000003,57,413,134,0,20.900000000000002,58,378,0,128,68.37,79.31,0.16,1008,4.4,67,2.1
2021,1,2,18,0,26.6,29,170,42,0,21.400000000000002,29,170,0,42,73.11,85.78,0.16,1008,4.4,66,2
2021,1,2,18,30,26.3,0,0,0,0,21.400000000000002,0,0,0,0,74.48,92.42,0.16,1009,4.5,63,2.1
