,Capacity(kW),Generation(kWh),Income,GHI_sum,DNI_sum,DHI_sum,Temperature_mean,Temperature_max,Relative Humidity_mean,Wind Speed_mean,cloud_clear_mean,cloud_medium_mean,cloud_dense_mean,cloud_extreme_mean,sin_day,cos_day
2024-02-12,97.01,486.8,457.59,8170,9925,1122,27.183333333333334,31.1,83.16875,0.0,0.5,0.4583333333333333,0.041666666666666664,0.0,0.6729490241558329,0.7396888608649668
2024-02-13,97.01,532.3,500.36,7793,8997,1650,27.599999999999998,31.8,80.83416666666666,0.0,0.7083333333333334,0.25,0.041666666666666664,0.0,0.6855476064742154,0.7280278011569848
2024-02-14,97.01,499.3,469.34,6798,6392,2282,27.974999999999998,33.1,78.69291666666668,0.0,0.16666666666666666,0.20833333333333334,0.625,0.0,0.6979441547663435,0.7161521883143933
2024-02-15,97.01,336.8,316.59,4726,2515,2957,27.420833333333334,31.6,85.25625000000001,0.0,0.08333333333333333,0.3333333333333333,0.5833333333333334,0.0,0.7101350157125358,0.7040655221348057
2024-02-16,97.01,250.3,235.28,2283,504,1808,26.704166666666666,29.8,91.12458333333335,0.0,0.0,0.75,0.25,0.0,0.7221165966101162,0.6917713646142218
2024-02-17,97.01,385.6,362.46,5218,3147,3241,26.275000000000002,29.200000000000003,89.2625,0.0,0.0,0.6666666666666666,0.3333333333333333,0.0,0.733885366432199,0.6792733388972931
2024-02-18,97.01,247.6,232.74,3623,743,2986,25.212500000000002,26.8,93.83375000000001,0.0,0.0,0.2916666666666667,0.7083333333333334,0.0,0.7454378568683001,0.6665751282095632
2024-02-19,97.01,467.9,439.83,6761,6444,2153,27.295833333333334,31.4,89.71249999999999,0.0,0.0,0.3333333333333333,0.6666666666666666,0.0,0.7567706633464626,0.653680474772006
2024-02-20,97.01,218.2,205.11,3621,841,2912,26.079166666666666,27.8,95.91583333333334,0.0,0.0,0.5416666666666666,0.4583333333333333,0.0,0.7678804460366,0.6405931786981751
2024-02-21,97.01,224.0,210.56,3184,912,2413,26.349999999999998,29.1,93.68166666666667,0.0,0.0,0.375,0.625,0.0,0.7787639308347607,0.6273170968742937
2024-02-22,97.01,321.8,302.49,4001,1407,2904,26.325,27.9,96.43958333333335,0.0,0.0,0.375,0.625,0.0,0.7894179103280197,0.613856141822612
2024-02-23,97.01,322.4,303.06,4174,1740,3098,27.0625,30.200000000000003,91.25375000000001,0.0,0.041666666666666664,0.3333333333333333,0.625,0.0,0.7998392447397193,0.6002142805483682
2024-02-24,97.01,512.2,481.47,7922,9436,1109,26.558333333333334,30.0,87.54791666666667,0.0,0.7083333333333334,0.16666666666666666,0.125,0.0,0.8100248628547753,0.5863955333706956
2024-02-25,97.01,488.6,459.28,7477,8665,1522,26.4375,30.5,85.77166666666666,0.0,0.7083333333333334,0.20833333333333334,0.08333333333333333,0.0,0.8199717629247771,0.5724039727378148
2024-02-26,97.01,523.4,492.0,7878,9805,1028,26.662499999999998,30.1,86.68333333333334,0.0,0.7083333333333334,0.25,0.041666666666666664,0.0,0.8296770135526188,0.5582437220268648
2024-02-27,97.01,464.3,436.44,7518,9129,1156,26.945833333333336,30.8,83.44875,0.0,0.7916666666666666,0.20833333333333334,0.0,0.0,0.8391377545563938,0.5439189543287247
2024-02-28,97.01,548.6,515.68,7819,9729,997,28.15416666666667,33.300000000000004,82.99208333333333,0.0,0.7916666666666666,0.16666666666666666,0.041666666666666664,0.0,0.8483511978123038,0.5294338912181853
2024-02-29,97.01,347.8,326.93,6115,5922,1544,28.358333333333334,33.4,84.97166666666666,0.0,0.2916666666666667,0.20833333333333334,0.5,0.0,0.8573146280763322,0.5147928015098309
2024-03-01,97.01,456.6,429.2,6677,6376,1818,28.75,33.2,84.72583333333334,0.0,0.041666666666666664,0.4583333333333333,0.5,0.0,0.8660254037844386,0.5000000000000001
2024-03-02,97.01,374.03333333333336,0.0,5113,2464,3192,26.233333333333334,27.700000000000003,91.95791666666668,0.0,0.0,0.375,0.625,0.0,0.8744809578310397,0.4850598461951962
2024-03-03,97.01,291.4666666666667,0.0,5706,3959,2933,25.8625,29.200000000000003,83.36375,0.0,0.16666666666666666,0.6666666666666666,0.16666666666666666,0.0,0.8826787983255474,0.46997674302731995
2024-03-04,97.01,208.9,196.37,5283,3988,2110,26.266666666666666,29.200000000000003,83.73875,0.0,0.0,0.25,0.75,0.0,0.8906165093267404,0.4547551355561058
2024-03-05,97.01,368.7,346.58,5268,3657,2230,27.366666666666664,31.1,89.60000000000001,0.0,0.0,0.4166666666666667,0.5833333333333334,0.0,0.8982917515547528,0.4393995096591417
2024-03-06,97.01,366.65,0.0,7401,8056,1187,27.595833333333335,31.8,86.42416666666666,0.0,0.20833333333333334,0.3333333333333333,0.4583333333333333,0.0,0.9057022630804714,0.42391439070986076
2024-03-07,97.01,364.6,342.72,5835,4530,2458,27.525000000000002,31.3,88.30208333333333,0.0,0.25,0.4583333333333333,0.2916666666666667,0.0,0.9128458599921356,0.40830434224389334
2024-03-08,97.01,308.2,289.71,6254,5333,2003,27.262500000000003,30.9,86.24958333333335,0.0,0.16666666666666666,0.7083333333333334,0.125,0.0,0.9197204370389467,0.3925739646141717
2024-03-09,97.01,479.3,450.54,7434,9161,1066,26.8,30.6,84.895,0.0,0.5,0.375,0.125,0.0,0.926323968251495,0.3767278936351851
2024-03-10,97.01,447.5,420.65,5674,4801,2037,27.925,32.2,84.38416666666667,0.0,0.125,0.20833333333333334,0.6666666666666666,0.0,0.9326545075388224,0.36077079921678346
2024-03-11,97.01,267.0,250.98,3623,1448,2421,27.195833333333336,29.9,90.06958333333334,0.0,0.0,0.7916666666666666,0.20833333333333334,0.0,0.9387101892619443,0.3447073839879338
2024-03-12,97.01,436.7,410.5,6184,5768,1841,26.412499999999998,28.9,88.1925,0.0,0.0,1.0,0.0,0.0,0.9444892287836613,0.32854238191083485
2024-03-13,97.01,343.7,323.08,4679,3022,3274,26.345833333333335,29.8,85.4825,0.0,0.20833333333333334,0.7916666666666666,0.0,0.0,0.949989922994501,0.3122805568857947
2024-03-14,97.01,434.5,408.43,7036,8226,1410,27.200000000000003,31.4,84.33833333333334,0.0,0.3333333333333333,0.6666666666666666,0.0,0.0,0.9552106508146316,0.2959267013472893
2024-03-15,97.01,472.4,444.06,7340,9139,1025,27.15833333333333,31.4,86.02999999999999,0.0,0.5,0.5,0.0,0.0,0.9601498736716018,0.2794856348516095
