,Capacity(kW),Generation(kWh),Income,ghi_sum,dni_sum,dhi_sum,cloud_mean,temp_mean,temp_max,humidity_mean
2024-01-29,97.01,329.6,309.82,21944,13366,10768,54.74583333333334,27.030208333333334,32.3,82.75729166666666
2024-01-30,97.01,470.6,442.36,25266,15220,13643,54.831250000000004,27.818749999999998,33.2,80.67083333333333
2024-01-31,97.01,376.1,353.53,22309,10905,13863,61.88229166666667,27.73125,32.9,80.66354166666666
2024-02-01,97.01,537.6,505.34,30217,30619,7435,43.16458333333333,28.132291666666664,32.7,76.62395833333333
2024-02-02,97.01,377.3,354.66,22451,12249,14831,33.675000000000004,26.82604166666667,30.9,80.67812500000001
2024-02-03,97.01,440.1,413.69,27311,25924,10850,32.032291666666666,27.351041666666664,31.0,80.86666666666666
2024-02-04,97.01,483.5,454.49,28008,23796,11068,27.118750000000002,27.113541666666666,31.8,79.20833333333333
2024-02-05,97.01,367.9,345.83,20207,10494,15109,48.69479166666667,27.349999999999998,32.4,78.8875
2024-02-06,97.01,315.4,296.48,19135,9042,12536,51.44479166666667,27.819791666666664,32.1,79.71041666666666
2024-02-07,97.01,452.5,425.35,26264,20980,9481,48.786458333333336,27.617708333333336,32.4,78.628125
2024-02-08,97.01,266.8,250.79,15021,990,14236,70.25208333333333,27.09375,30.3,80.75416666666666
2024-02-09,97.01,489.0,459.66,28036,25637,8927,23.178124999999998,26.828125,31.8,78.79583333333333
2024-02-10,97.01,301.8,283.69,18313,6637,12760,43.878125000000004,25.35729166666667,29.1,82.51041666666667
2024-02-11,97.01,387.7,364.44,24473,17390,11899,34.651041666666664,26.10625,31.2,82.56666666666666
2024-02-12,97.01,486.8,457.59,28106,25021,10250,21.985416666666666,27.58125,32.5,78.640625
2024-02-13,97.01,532.3,500.36,29736,32264,7709,13.113541666666668,27.976041666666664,33.1,75.72291666666666
2024-02-14,97.01,499.3,469.34,28509,26497,9276,27.459374999999998,27.959374999999998,33.5,75.48541666666667
2024-02-15,97.01,336.8,316.59,18463,3341,16125,53.19166666666666,27.837500000000002,32.6,77.80312500000001
2024-02-16,97.01,250.3,235.28,13590,2741,10899,76.22812499999999,25.868750000000002,29.6,88.78854166666667
2024-02-17,97.01,385.6,362.46,22643,13056,13650,49.479166666666664,26.858333333333334,31.8,78.95520833333333
2024-02-18,97.01,247.6,232.74,14350,1050,13366,65.94583333333334,26.56458333333333,30.3,84.68124999999999
2024-02-19,97.01,467.9,439.83,24962,18337,11089,54.08229166666666,27.39375,32.5,82.61770833333334
2024-02-20,97.01,218.2,205.11,12544,362,12201,74.03541666666666,26.740624999999998,31.3,84.13333333333334
2024-02-21,97.01,224.0,210.56,12964,831,12192,75.52916666666667,25.816666666666666,28.3,91.17812500000001
2024-02-22,97.01,321.8,302.49,17794,3786,14464,71.01145833333334,26.25,29.9,89.19895833333334
2024-02-23,97.01,322.4,303.06,17827,7739,13555,51.678125,27.48645833333333,31.3,84.59479166666667
2024-02-24,97.01,512.2,481.47,28882,29387,7724,15.764583333333334,27.791666666666668,31.7,81.45625
2024-02-25,97.01,488.6,459.28,30437,34142,5725,4.472916666666666,27.465625,33.0,79.47395833333333
2024-02-26,97.01,523.4,492.0,28018,29463,8456,10.387500000000001,27.175,31.5,81.33437500000001
2024-02-27,97.01,464.3,436.44,30684,36513,4933,10.630208333333334,27.342708333333334,33.4,75.73645833333333
2024-02-28,97.01,548.6,515.68,30987,38060,3510,13.238541666666668,28.337500000000002,34.9,75.64687500000001
2024-02-29,97.01,347.8,326.93,26312,24342,7238,33.731249999999996,28.849999999999998,34.6,77.85520833333334
2024-03-01,97.01,456.6,429.2,27603,26662,7618,31.23229166666667,29.445833333333336,35.4,78.39999999999999
2024-03-02,97.01,0.0,0.0,22381,10954,13425,60.95104166666667,26.583333333333332,30.1,80.80729166666667
2024-03-03,97.01,0.0,0.0,21409,11535,13362,45.940625000000004,26.819791666666664,30.7,74.32604166666667
2024-03-04,97.01,208.9,196.37,22548,14156,11507,36.973958333333336,27.528125,31.9,76.66145833333333
2024-03-05,97.01,368.7,346.58,22821,14271,11154,56.67083333333333,28.640625,33.5,76.36979166666667
2024-03-06,97.01,0.0,0.0,26951,25893,8019,40.209375,28.910416666666666,33.7,73.79166666666667
2024-03-07,97.01,364.6,342.72,22668,15889,12059,38.026041666666664,27.99791666666667,31.7,82.74479166666667
2024-03-08,97.01,308.2,289.71,24104,18118,10535,41.329166666666666,27.879166666666666,32.4,80.16875
2024-03-09,97.01,479.3,450.54,27207,28812,7524,19.20625,27.948958333333334,33.0,75.159375
2024-03-10,97.01,447.5,420.65,24151,19257,9696,41.1875,28.6875,33.6,74.88020833333333
2024-03-11,97.01,267.0,250.98,15022,4163,11733,57.66979166666667,27.526041666666668,30.3,83.66875
2024-03-12,97.01,436.7,410.5,23812,18278,9695,32.733333333333334,27.407291666666666,31.1,75.74374999999999
2024-03-13,97.01,343.7,323.08,18753,7208,14296,32.985416666666666,27.151041666666668,30.2,78.48229166666667
2024-03-14,97.01,434.5,408.43,26774,27728,8140,16.368750000000002,27.765625,33.4,76.72916666666667
2024-03-15,97.01,472.4,444.06,27576,30329,6353,21.289583333333333,28.223958333333332,33.8,76.06979166666666
2024-03-16,97.01,468.7,440.58,26922,28475,6997,15.873958333333334,27.133333333333336,33.9,78.65416666666667
