,Generation(kWh),GHI_sum,DNI_sum,DHI_sum,Temperature_mean,Temperature_max,Relative Humidity_mean,Wind Speed_mean,Cloud Type_mean,sin_day,cos_day
2024-01-24,215.2,3025,430,2760,25.641666666666666,28.3,92.97625,0.0,5.958333333333333,0.40045390565126643,0.9163169044870048
2024-01-25,269.3,4071,1258,3086,25.8,27.8,94.57875,0.0,6.416666666666667,0.41612469599147445,0.9093075592922358
2024-01-26,218.5,3320,790,2678,26.46666666666667,29.200000000000003,90.76958333333333,0.0,6.791666666666667,0.43167285247378384,0.9020302369860707
2024-01-27,313.4,4141,1010,3283,26.033333333333335,28.4,93.21291666666667,0.0,6.791666666666667,0.44709379298511387,0.8944870822287956
2024-01-28,143.9,2289,152,2145,26.700000000000003,29.1,93.59333333333332,0.0,6.583333333333333,0.4623829729035149,0.88668031802274
2024-01-29,329.6,5947,5065,2107,26.575000000000003,29.4,92.27083333333333,0.0,5.208333333333333,0.47753588643748823,0.8786122450571483
2024-01-30,470.6,5712,3223,3361,26.175,28.4,92.77958333333333,0.0,6.625,0.4925480679538643,0.8702852410301553
2024-01-31,376.1,5352,2733,3111,26.183333333333334,28.6,93.93416666666667,0.0,7.083333333333333,0.5074150932938455,0.8617017599480682
2024-02-01,537.6,7393,7234,2020,26.30416666666667,29.0,89.60833333333333,0.0,3.3333333333333335,0.5221325810768248,0.8528643314021597
2024-02-02,377.3,5410,3087,3222,26.679166666666664,30.200000000000003,85.96833333333332,0.0,5.5,0.5366961939916004,0.8437755598231856
2024-02-03,440.1,6282,6334,2516,27.137500000000003,30.700000000000003,84.50708333333334,0.0,3.0833333333333335,0.5511016400746002,0.8344381237138473
2024-02-04,483.5,6639,5393,2888,26.962500000000002,30.700000000000003,83.35541666666667,0.0,3.7083333333333335,0.5653446739747429,0.8248547748594244
2024-02-05,367.9,4778,3195,3068,27.054166666666664,31.0,83.44875,0.0,5.958333333333333,0.5794210982045637,0.8150283375168114
2024-02-06,315.4,4282,1792,2952,26.90416666666667,29.9,85.88166666666666,0.0,6.958333333333333,0.593326764377232,0.8049617075821959
2024-02-07,452.5,5663,3616,2981,27.3,31.3,83.27416666666666,0.0,6.708333333333333,0.6070575744291002,0.7946578517376252
2024-02-08,266.8,3868,706,3317,26.645833333333332,29.4,85.96375,0.0,6.708333333333333,0.6206094818274227,0.7841198065767104
2024-02-09,489.0,7700,7941,1696,26.75,30.9,78.24958333333333,0.0,1.3333333333333333,0.6339784927628866,0.7733506777097299
2024-02-10,301.8,4033,1601,2774,26.150000000000002,29.8,83.13916666666667,0.0,2.875,0.647160667326606,0.7623536388483904
2024-02-11,387.7,6516,5639,2525,26.7375,30.3,85.09041666666667,0.0,2.5416666666666665,0.6601521206712317,0.7511319308705199
2024-02-12,486.8,8170,9925,1122,27.183333333333334,31.1,83.16875,0.0,0.875,0.6729490241558329,0.7396888608649668
2024-02-13,532.3,7793,8997,1650,27.599999999999998,31.8,80.83416666666666,0.0,0.625,0.6855476064742154,0.7280278011569848
2024-02-14,499.3,6798,6392,2282,27.974999999999998,33.1,78.69291666666668,0.0,4.833333333333333,0.6979441547663435,0.7161521883143933
2024-02-15,336.8,4726,2515,2957,27.420833333333334,31.6,85.25625000000001,0.0,5.833333333333333,0.7101350157125358,0.7040655221348057
2024-02-16,250.3,2283,504,1808,26.704166666666666,29.8,91.12458333333335,0.0,5.541666666666667,0.7221165966101162,0.6917713646142218
2024-02-17,385.6,5218,3147,3241,26.275000000000002,29.200000000000003,89.2625,0.0,4.333333333333333,0.733885366432199,0.6792733388972931
2024-02-18,247.6,3623,743,2986,25.212500000000002,26.8,93.83375000000001,0.0,6.416666666666667,0.7454378568683001,0.6665751282095632
2024-02-19,467.9,6761,6444,2153,27.295833333333334,31.4,89.71249999999999,0.0,5.666666666666667,0.7567706633464626,0.653680474772006
2024-02-20,218.2,3621,841,2912,26.079166666666666,27.8,95.91583333333334,0.0,6.458333333333333,0.7678804460366,0.6405931786981751
2024-02-21,224.0,3184,912,2413,26.349999999999998,29.1,93.68166666666667,0.0,6.791666666666667,0.7787639308347607,0.6273170968742937
2024-02-22,321.8,4001,1407,2904,26.325,27.9,96.43958333333335,0.0,6.708333333333333,0.7894179103280197,0.613856141822612
2024-02-23,322.4,4174,1740,3098,27.0625,30.200000000000003,91.25375000000001,0.0,5.458333333333333,0.7998392447397193,0.6002142805483682
2024-02-24,512.2,7922,9436,1109,26.558333333333334,30.0,87.54791666666667,0.0,1.25,0.8100248628547753,0.5863955333706956
2024-02-25,488.6,7477,8665,1522,26.4375,30.5,85.77166666666666,0.0,0.875,0.8199717629247771,0.5724039727378148
2024-02-26,523.4,7878,9805,1028,26.662499999999998,30.1,86.68333333333334,0.0,0.5833333333333334,0.8296770135526188,0.5582437220268648
2024-02-27,464.3,7518,9129,1156,26.945833333333336,30.8,83.44875,0.0,0.25,0.8391377545563938,0.5439189543287247
2024-02-28,548.6,7819,9729,997,28.15416666666667,33.300000000000004,82.99208333333333,0.0,0.5416666666666666,0.8483511978123038,0.5294338912181853
2024-02-29,347.8,6115,5922,1544,28.358333333333334,33.4,84.97166666666666,0.0,4.208333333333333,0.8573146280763322,0.5147928015098309
2024-03-01,456.6,6677,6376,1818,28.75,33.2,84.72583333333334,0.0,4.833333333333333,0.8660254037844386,0.5000000000000001
2024-03-02,374.03333333333336,5113,2464,3192,26.233333333333334,27.700000000000003,91.95791666666668,0.0,6.333333333333333,0.8744809578310397,0.4850598461951962
2024-03-03,291.4666666666667,5706,3959,2933,25.8625,29.200000000000003,83.36375,0.0,2.9166666666666665,0.8826787983255474,0.46997674302731995
2024-03-04,208.9,5283,3988,2110,26.266666666666666,29.200000000000003,83.73875,0.0,6.291666666666667,0.8906165093267404,0.4547551355561058
