Date,Plant,Classification,Capacity(kW),Generation(kWh),Income
2024-06-01,IFES Campus Linhares,Commercial rooftop,97.01,231.4,217.52
2024-06-02,IFES Campus Linhares,Commercial rooftop,97.01,283.6,266.58
2024-06-03,IFES Campus Linhares,Commercial rooftop,97.01,267.2,251.17
2024-06-04,IFES Campus Linhares,Commercial rooftop,97.01,329.1,309.35
2024-06-05,IFES Campus Linhares,Commercial rooftop,97.01,233.0,219.02
2024-06-06,IFES Campus Linhares,Commercial rooftop,97.01,255.3,239.98
2024-06-07,IFES Campus Linhares,Commercial rooftop,97.01,321.6,302.3
2024-06-08,IFES Campus Linhares,Commercial rooftop,97.01,176.8,166.19
2024-06-09,IFES Campus Linhares,Commercial rooftop,97.01,301.1,283.03
2024-06-10,IFES Campus Linhares,Commercial rooftop,97.01,317.8,298.73
2024-06-11,IFES Campus Linhares,Commercial rooftop,97.01,284.6,267.52
2024-06-12,IFES Campus Linhares,Commercial rooftop,97.01,238.6,224.28
2024-06-13,IFES Campus Linhares,Commercial rooftop,97.01,118.0,110.92
2024-06-14,IFES Campus Linhares,Commercial rooftop,97.01,315.5,296.57
2024-06-15,IFES Campus Linhares,Commercial rooftop,97.01,315.1,296.19
2024-06-16,IFES Campus Linhares,Commercial rooftop,97.01,243.7,229.08
2024-06-17,IFES Campus Linhares,Commercial rooftop,97.01,156.6,147.2
2024-06-18,IFES Campus Linhares,Commercial rooftop,97.01,183.0,172.02
2024-06-19,IFES Campus Linhares,Commercial rooftop,97.01,255.5,240.17
2024-06-20,IFES Campus Linhares,Commercial rooftop,97.01,162.9,153.13
2024-06-21,IFES Campus Linhares,Commercial rooftop,97.01,273.3,256.9
2024-06-22,IFES Campus Linhares,Commercial rooftop,97.01,219.1,205.95
2024-06-23,IFES Campus Linhares,Commercial rooftop,97.01,256.6,241.2
2024-06-24,IFES Campus Linhares,Commercial rooftop,97.01,281.8,264.89
2024-06-25,IFES Campus Linhares,Commercial rooftop,97.01,334.2,314.15
2024-06-26,IFES Campus Linhares,Commercial rooftop,97.01,273.6,257.18
2024-06-27,IFES Campus Linhares,Commercial rooftop,97.01,264.2,248.35
2024-06-28,IFES Campus Linhares,Commercial rooftop,97.01,264.1,248.25
2024-06-29,IFES Campus Linhares,Commercial rooftop,97.01,0.0,0.0
2024-06-30,IFES Campus Linhares,Commercial rooftop,97.01,0.0,0.0
