Date,Plant,Classification,Capacity(kW),Generation(kWh),Income
2024-08-01,IFES Campus Linhares,Commercial rooftop,97.01,270.7,254.46
2024-08-02,IFES Campus Linhares,Commercial rooftop,97.01,75.5,70.97
2024-08-03,IFES Campus Linhares,Commercial rooftop,97.01,256.6,241.2
2024-08-04,IFES Campus Linhares,Commercial rooftop,97.01,240.6,226.16
2024-08-05,IFES Campus Linhares,Commercial rooftop,97.01,334.0,313.96
2024-08-06,IFES Campus Linhares,Commercial rooftop,97.01,323.0,303.62
2024-08-07,IFES Campus Linhares,Commercial rooftop,97.01,315.0,296.1
2024-08-08,IFES Campus Linhares,Commercial rooftop,97.01,403.1,378.91
2024-08-09,IFES Campus Linhares,Commercial rooftop,97.01,389.1,365.75
2024-08-10,IFES Campus Linhares,Commercial rooftop,97.01,375.8,353.25
2024-08-11,IFES Campus Linhares,Commercial rooftop,97.01,212.5,199.75
2024-08-12,IFES Campus Linhares,Commercial rooftop,97.01,155.8,146.45
2024-08-13,IFES Campus Linhares,Commercial rooftop,97.01,272.6,256.24
2024-08-14,IFES Campus Linhares,Commercial rooftop,97.01,322.9,303.53
2024-08-15,IFES Campus Linhares,Commercial rooftop,97.01,295.7,277.96
2024-08-16,IFES Campus Linhares,Commercial rooftop,97.01,383.3,360.3
2024-08-17,IFES Campus Linhares,Commercial rooftop,97.01,383.5,360.49
2024-08-18,IFES Campus Linhares,Commercial rooftop,97.01,403.3,379.1
2024-08-19,IFES Campus Linhares,Commercial rooftop,97.01,373.6,351.18
2024-08-20,IFES Campus Linhares,Commercial rooftop,97.01,429.5,403.73
2024-08-21,IFES Campus Linhares,Commercial rooftop,97.01,307.6,289.14
2024-08-22,IFES Campus Linhares,Commercial rooftop,97.01,209.2,196.65
2024-08-23,IFES Campus Linhares,Commercial rooftop,97.01,325.4,305.88
2024-08-24,IFES Campus Linhares,Commercial rooftop,97.01,401.7,377.6
2024-08-25,IFES Campus Linhares,Commercial rooftop,97.01,362.6,340.84
2024-08-26,IFES Campus Linhares,Commercial rooftop,97.01,268.7,252.58
2024-08-27,IFES Campus Linhares,Commercial rooftop,97.01,57.4,53.96
2024-08-28,IFES Campus Linhares,Commercial rooftop,97.01,77.8,73.13
2024-08-29,IFES Campus Linhares,Commercial rooftop,97.01,328.5,308.79
2024-08-30,IFES Campus Linhares,Commercial rooftop,97.01,426.9,401.29
2024-08-31,IFES Campus Linhares,Commercial rooftop,97.01,420.3,395.08
