Date,Plant,Classification,Capacity(kW),Generation(kWh),Income
2024-01-01,IFES Campus Linhares,Commercial rooftop,97.01,202.3,190.16
2024-01-02,IFES Campus Linhares,Commercial rooftop,97.01,235.4,221.28
2024-01-03,IFES Campus Linhares,Commercial rooftop,97.01,337.4,317.16
2024-01-04,IFES Campus Linhares,Commercial rooftop,97.01,269.9,253.71
2024-01-05,IFES Campus Linhares,Commercial rooftop,97.01,307.1,288.67
2024-01-06,IFES Campus Linhares,Commercial rooftop,97.01,468.3,440.2
2024-01-07,IFES Campus Linhares,Commercial rooftop,97.01,126.3,118.72
2024-01-08,IFES Campus Linhares,Commercial rooftop,97.01,370.0,347.8
2024-01-09,IFES Campus Linhares,Commercial rooftop,97.01,444.9,418.21
2024-01-10,IFES Campus Linhares,Commercial rooftop,97.01,514.1,483.25
2024-01-11,IFES Campus Linhares,Commercial rooftop,97.01,535.7,503.56
2024-01-12,IFES Campus Linhares,Commercial rooftop,97.01,526.1,494.53
2024-01-13,IFES Campus Linhares,Commercial rooftop,97.01,498.0,468.12
2024-01-14,IFES Campus Linhares,Commercial rooftop,97.01,578.2,543.51
2024-01-15,IFES Campus Linhares,Commercial rooftop,97.01,521.0,489.74
2024-01-16,IFES Campus Linhares,Commercial rooftop,97.01,513.8,482.97
2024-01-17,IFES Campus Linhares,Commercial rooftop,97.01,593.8,558.17
2024-01-18,IFES Campus Linhares,Commercial rooftop,97.01,496.8,466.99
2024-01-19,IFES Campus Linhares,Commercial rooftop,97.01,530.5,498.67
2024-01-20,IFES Campus Linhares,Commercial rooftop,97.01,550.8,517.75
2024-01-21,IFES Campus Linhares,Commercial rooftop,97.01,401.2,377.13
2024-01-22,IFES Campus Linhares,Commercial rooftop,97.01,105.8,99.45
2024-01-23,IFES Campus Linhares,Commercial rooftop,97.01,301.2,283.13
2024-01-24,IFES Campus Linhares,Commercial rooftop,97.01,215.2,202.29
2024-01-25,IFES Campus Linhares,Commercial rooftop,97.01,269.3,253.14
2024-01-26,IFES Campus Linhares,Commercial rooftop,97.01,218.5,205.39
2024-01-27,IFES Campus Linhares,Commercial rooftop,97.01,313.4,294.6
2024-01-28,IFES Campus Linhares,Commercial rooftop,97.01,143.9,135.27
2024-01-29,IFES Campus Linhares,Commercial rooftop,97.01,329.6,309.82
2024-01-30,IFES Campus Linhares,Commercial rooftop,97.01,470.6,442.36
2024-01-31,IFES Campus Linhares,Commercial rooftop,97.01,376.1,353.53
