Date,Plant,Classification,Capacity(kW),Generation(kWh),Income
2024-12-01,IFES Campus Linhares,Commercial rooftop,97.01,359.1,337.55
2024-12-02,IFES Campus Linhares,Commercial rooftop,97.01,508.4,477.9
2024-12-03,IFES Campus Linhares,Commercial rooftop,97.01,527.5,495.85
2024-12-04,IFES Campus Linhares,Commercial rooftop,97.01,461.5,433.81
2024-12-05,IFES Campus Linhares,Commercial rooftop,97.01,444.2,417.55
2024-12-06,IFES Campus Linhares,Commercial rooftop,97.01,519.8,488.61
2024-12-07,IFES Campus Linhares,Commercial rooftop,97.01,562.6,528.84
2024-12-08,IFES Campus Linhares,Commercial rooftop,97.01,571.3,537.02
2024-12-09,IFES Campus Linhares,Commercial rooftop,97.01,492.9,463.33
2024-12-10,IFES Campus Linhares,Commercial rooftop,97.01,509.1,478.55
2024-12-11,IFES Campus Linhares,Commercial rooftop,97.01,137.0,128.78
2024-12-12,IFES Campus Linhares,Commercial rooftop,97.01,434.3,408.24
2024-12-13,IFES Campus Linhares,Commercial rooftop,97.01,353.7,332.48
2024-12-14,IFES Campus Linhares,Commercial rooftop,97.01,387.7,364.44
2024-12-15,IFES Campus Linhares,Commercial rooftop,97.01,361.3,339.62
2024-12-16,IFES Campus Linhares,Commercial rooftop,97.01,449.0,422.06
2024-12-17,IFES Campus Linhares,Commercial rooftop,97.01,143.6,134.98
2024-12-18,IFES Campus Linhares,Commercial rooftop,97.01,350.1,329.09
2024-12-19,IFES Campus Linhares,Commercial rooftop,97.01,388.4,365.1
2024-12-20,IFES Campus Linhares,Commercial rooftop,97.01,494.5,464.83
2024-12-21,IFES Campus Linhares,Commercial rooftop,97.01,357.4,335.96
2024-12-22,IFES Campus Linhares,Commercial rooftop,97.01,539.7,507.32
2024-12-23,IFES Campus Linhares,Commercial rooftop,97.01,329.2,309.45
2024-12-24,IFES Campus Linhares,Commercial rooftop,97.01,191.3,179.82
2024-12-25,IFES Campus Linhares,Commercial rooftop,97.01,262.9,247.13
2024-12-26,IFES Campus Linhares,Commercial rooftop,97.01,477.0,448.38
2024-12-27,IFES Campus Linhares,Commercial rooftop,97.01,513.5,482.69
2024-12-28,IFES Campus Linhares,Commercial rooftop,97.01,478.4,449.7
2024-12-29,IFES Campus Linhares,Commercial rooftop,97.01,321.6,302.3
2024-12-30,IFES Campus Linhares,Commercial rooftop,97.01,189.8,178.41
2024-12-31,IFES Campus Linhares,Commercial rooftop,97.01,321.5,302.21
