Date,Plant,Classification,Capacity(kW),Generation(kWh),Income
2024-09-01,IFES Campus Linhares,Commercial rooftop,97.01,411.7,387.0
2024-09-02,IFES Campus Linhares,Commercial rooftop,97.01,433.2,407.21
2024-09-03,IFES Campus Linhares,Commercial rooftop,97.01,344.4,323.74
2024-09-04,IFES Campus Linhares,Commercial rooftop,97.01,308.8,290.27
2024-09-05,IFES Campus Linhares,Commercial rooftop,97.01,307.6,289.14
2024-09-06,IFES Campus Linhares,Commercial rooftop,97.01,128.1,120.41
2024-09-07,IFES Campus Linhares,Commercial rooftop,97.01,321.8,302.49
2024-09-08,IFES Campus Linhares,Commercial rooftop,97.01,287.5,270.25
2024-09-09,IFES Campus Linhares,Commercial rooftop,97.01,160.4,150.78
2024-09-10,IFES Campus Linhares,Commercial rooftop,97.01,388.6,365.28
2024-09-11,IFES Campus Linhares,Commercial rooftop,97.01,211.8,199.09
2024-09-12,IFES Campus Linhares,Commercial rooftop,97.01,371.7,349.4
2024-09-13,IFES Campus Linhares,Commercial rooftop,97.01,393.2,369.61
2024-09-14,IFES Campus Linhares,Commercial rooftop,97.01,314.4,295.54
2024-09-15,IFES Campus Linhares,Commercial rooftop,97.01,356.0,334.64
2024-09-16,IFES Campus Linhares,Commercial rooftop,97.01,380.6,357.76
2024-09-17,IFES Campus Linhares,Commercial rooftop,97.01,112.0,105.28
2024-09-18,IFES Campus Linhares,Commercial rooftop,97.01,149.6,140.62
2024-09-19,IFES Campus Linhares,Commercial rooftop,97.01,304.4,286.14
2024-09-20,IFES Campus Linhares,Commercial rooftop,97.01,262.5,246.75
2024-09-21,IFES Campus Linhares,Commercial rooftop,97.01,314.2,295.35
2024-09-22,IFES Campus Linhares,Commercial rooftop,97.01,384.3,361.24
2024-09-23,IFES Campus Linhares,Commercial rooftop,97.01,408.5,383.99
2024-09-24,IFES Campus Linhares,Commercial rooftop,97.01,214.6,201.72
2024-09-25,IFES Campus Linhares,Commercial rooftop,97.01,416.5,391.51
2024-09-26,IFES Campus Linhares,Commercial rooftop,97.01,207.7,195.24
2024-09-27,IFES Campus Linhares,Commercial rooftop,97.01,438.0,411.72
2024-09-28,IFES Campus Linhares,Commercial rooftop,97.01,275.1,258.59
2024-09-29,IFES Campus Linhares,Commercial rooftop,97.01,226.2,212.63
2024-09-30,IFES Campus Linhares,Commercial rooftop,97.01,333.1,313.11
