Date,Plant,Classification,Capacity(kW),Generation(kWh),Income
2024-07-01,IFES Campus Linhares,Commercial rooftop,97.01,138.4,130.1
2024-07-02,IFES Campus Linhares,Commercial rooftop,97.01,77.4,72.76
2024-07-03,IFES Campus Linhares,Commercial rooftop,97.01,107.8,101.33
2024-07-04,IFES Campus Linhares,Commercial rooftop,97.01,310.3,291.68
2024-07-05,IFES Campus Linhares,Commercial rooftop,97.01,297.3,279.46
2024-07-06,IFES Campus Linhares,Commercial rooftop,97.01,304.2,285.95
2024-07-07,IFES Campus Linhares,Commercial rooftop,97.01,275.6,259.06
2024-07-08,IFES Campus Linhares,Commercial rooftop,97.01,334.8,314.71
2024-07-09,IFES Campus Linhares,Commercial rooftop,97.01,254.2,238.95
2024-07-10,IFES Campus Linhares,Commercial rooftop,97.01,294.4,276.74
2024-07-11,IFES Campus Linhares,Commercial rooftop,97.01,315.3,296.38
2024-07-12,IFES Campus Linhares,Commercial rooftop,97.01,244.5,229.83
2024-07-13,IFES Campus Linhares,Commercial rooftop,97.01,0.0,0.0
2024-07-14,IFES Campus Linhares,Commercial rooftop,97.01,143.8,135.17
2024-07-15,IFES Campus Linhares,Commercial rooftop,97.01,338.0,317.72
2024-07-16,IFES Campus Linhares,Commercial rooftop,97.01,287.5,270.25
2024-07-17,IFES Campus Linhares,Commercial rooftop,97.01,305.8,287.45
2024-07-18,IFES Campus Linhares,Commercial rooftop,97.01,337.3,317.06
2024-07-19,IFES Campus Linhares,Commercial rooftop,97.01,358.0,336.52
2024-07-20,IFES Campus Linhares,Commercial rooftop,97.01,326.6,307.0
2024-07-21,IFES Campus Linhares,Commercial rooftop,97.01,167.9,157.83
2024-07-22,IFES Campus Linhares,Commercial rooftop,97.01,312.4,293.66
2024-07-23,IFES Campus Linhares,Commercial rooftop,97.01,303.5,285.29
2024-07-24,IFES Campus Linhares,Commercial rooftop,97.01,270.4,254.18
2024-07-25,IFES Campus Linhares,Commercial rooftop,97.01,268.1,252.01
2024-07-26,IFES Campus Linhares,Commercial rooftop,97.01,255.8,240.45
2024-07-27,IFES Campus Linhares,Commercial rooftop,97.01,0.0,0.0
2024-07-28,IFES Campus Linhares,Commercial rooftop,97.01,157.4,147.96
2024-07-29,IFES Campus Linhares,Commercial rooftop,97.01,357.9,336.43
2024-07-30,IFES Campus Linhares,Commercial rooftop,97.01,216.2,203.23
2024-07-31,IFES Campus Linhares,Commercial rooftop,97.01,274.3,257.84
