Date,Plant,Classification,Capacity(kW),Generation(kWh),Income
2024-03-01,IFES Campus Linhares,Commercial rooftop,97.01,456.6,429.2
2024-03-02,IFES Campus Linhares,Commercial rooftop,97.01,0.0,0.0
2024-03-03,IFES Campus Linhares,Commercial rooftop,97.01,0.0,0.0
2024-03-04,IFES Campus Linhares,Commercial rooftop,97.01,208.9,196.37
2024-03-05,IFES Campus Linhares,Commercial rooftop,97.01,368.7,346.58
2024-03-06,IFES Campus Linhares,Commercial rooftop,97.01,0.0,0.0
2024-03-07,IFES Campus Linhares,Commercial rooftop,97.01,364.6,342.72
2024-03-08,IFES Campus Linhares,Commercial rooftop,97.01,308.2,289.71
2024-03-09,IFES Campus Linhares,Commercial rooftop,97.01,479.3,450.54
2024-03-10,IFES Campus Linhares,Commercial rooftop,97.01,447.5,420.65
2024-03-11,IFES Campus Linhares,Commercial rooftop,97.01,267.0,250.98
2024-03-12,IFES Campus Linhares,Commercial rooftop,97.01,436.7,410.5
2024-03-13,IFES Campus Linhares,Commercial rooftop,97.01,343.7,323.08
2024-03-14,IFES Campus Linhares,Commercial rooftop,97.01,434.5,408.43
2024-03-15,IFES Campus Linhares,Commercial rooftop,97.01,472.4,444.06
2024-03-16,IFES Campus Linhares,Commercial rooftop,97.01,468.7,440.58
2024-03-17,IFES Campus Linhares,Commercial rooftop,97.01,501.2,471.13
2024-03-18,IFES Campus Linhares,Commercial rooftop,97.01,431.9,405.99
2024-03-19,IFES Campus Linhares,Commercial rooftop,97.01,380.7,357.86
2024-03-20,IFES Campus Linhares,Commercial rooftop,97.01,388.7,365.38
2024-03-21,IFES Campus Linhares,Commercial rooftop,97.01,396.8,372.99
2024-03-22,IFES Campus Linhares,Commercial rooftop,97.01,239.1,224.75
2024-03-23,IFES Campus Linhares,Commercial rooftop,97.01,7.5,7.05
2024-03-24,IFES Campus Linhares,Commercial rooftop,97.01,223.3,209.9
2024-03-25,IFES Campus Linhares,Commercial rooftop,97.01,394.5,370.83
2024-03-26,IFES Campus Linhares,Commercial rooftop,97.01,377.3,354.66
2024-03-27,IFES Campus Linhares,Commercial rooftop,97.01,394.0,370.36
2024-03-28,IFES Campus Linhares,Commercial rooftop,97.01,449.6,422.62
2024-03-29,IFES Campus Linhares,Commercial rooftop,97.01,369.8,347.61
2024-03-30,IFES Campus Linhares,Commercial rooftop,97.01,444.5,417.83
2024-03-31,IFES Campus Linhares,Commercial rooftop,97.01,421.2,395.93
