Date,Plant,Classification,Capacity(kW),Generation(kWh),Income
2024-05-01,IFES Campus Linhares,Commercial rooftop,97.01,336.3,316.12
2024-05-02,IFES Campus Linhares,Commercial rooftop,97.01,356.6,335.2
2024-05-03,IFES Campus Linhares,Commercial rooftop,97.01,393.4,369.8
2024-05-04,IFES Campus Linhares,Commercial rooftop,97.01,382.7,359.74
2024-05-05,IFES Campus Linhares,Commercial rooftop,97.01,333.3,313.3
2024-05-06,IFES Campus Linhares,Commercial rooftop,97.01,334.9,314.81
2024-05-07,IFES Campus Linhares,Commercial rooftop,97.01,247.8,232.93
2024-05-08,IFES Campus Linhares,Commercial rooftop,97.01,307.3,288.86
2024-05-09,IFES Campus Linhares,Commercial rooftop,97.01,229.4,215.64
2024-05-10,IFES Campus Linhares,Commercial rooftop,97.01,293.9,276.27
2024-05-11,IFES Campus Linhares,Commercial rooftop,97.01,358.2,336.71
2024-05-12,IFES Campus Linhares,Commercial rooftop,97.01,357.9,336.43
2024-05-13,IFES Campus Linhares,Commercial rooftop,97.01,156.4,147.02
2024-05-14,IFES Campus Linhares,Commercial rooftop,97.01,368.3,346.2
2024-05-15,IFES Campus Linhares,Commercial rooftop,97.01,337.4,317.16
2024-05-16,IFES Campus Linhares,Commercial rooftop,97.01,307.7,289.24
2024-05-17,IFES Campus Linhares,Commercial rooftop,97.01,328.2,308.51
2024-05-18,IFES Campus Linhares,Commercial rooftop,97.01,307.2,288.77
2024-05-19,IFES Campus Linhares,Commercial rooftop,97.01,326.9,307.29
2024-05-20,IFES Campus Linhares,Commercial rooftop,97.01,336.5,316.31
2024-05-21,IFES Campus Linhares,Commercial rooftop,97.01,342.8,322.23
2024-05-22,IFES Campus Linhares,Commercial rooftop,97.01,288.3,271.0
2024-05-23,IFES Campus Linhares,Commercial rooftop,97.01,228.0,214.32
2024-05-24,IFES Campus Linhares,Commercial rooftop,97.01,334.9,314.81
2024-05-25,IFES Campus Linhares,Commercial rooftop,97.01,329.1,309.35
2024-05-26,IFES Campus Linhares,Commercial rooftop,97.01,223.1,209.71
2024-05-27,IFES Campus Linhares,Commercial rooftop,97.01,203.7,191.48
2024-05-28,IFES Campus Linhares,Commercial rooftop,97.01,301.4,283.32
2024-05-29,IFES Campus Linhares,Commercial rooftop,97.01,274.1,257.65
2024-05-30,IFES Campus Linhares,Commercial rooftop,97.01,301.4,283.32
2024-05-31,IFES Campus Linhares,Commercial rooftop,97.01,355.1,333.79
