Date,Plant,Classification,Capacity(kW),Generation(kWh),Income
2024-02-01,IFES Campus Linhares,Commercial rooftop,97.01,537.6,505.34
2024-02-02,IFES Campus Linhares,Commercial rooftop,97.01,377.3,354.66
2024-02-03,IFES Campus Linhares,Commercial rooftop,97.01,440.1,413.69
2024-02-04,IFES Campus Linhares,Commercial rooftop,97.01,483.5,454.49
2024-02-05,IFES Campus Linhares,Commercial rooftop,97.01,367.9,345.83
2024-02-06,IFES Campus Linhares,Commercial rooftop,97.01,315.4,296.48
2024-02-07,IFES Campus Linhares,Commercial rooftop,97.01,452.5,425.35
2024-02-08,IFES Campus Linhares,Commercial rooftop,97.01,266.8,250.79
2024-02-09,IFES Campus Linhares,Commercial rooftop,97.01,489.0,459.66
2024-02-10,IFES Campus Linhares,Commercial rooftop,97.01,301.8,283.69
2024-02-11,IFES Campus Linhares,Commercial rooftop,97.01,387.7,364.44
2024-02-12,IFES Campus Linhares,Commercial rooftop,97.01,486.8,457.59
2024-02-13,IFES Campus Linhares,Commercial rooftop,97.01,532.3,500.36
2024-02-14,IFES Campus Linhares,Commercial rooftop,97.01,499.3,469.34
2024-02-15,IFES Campus Linhares,Commercial rooftop,97.01,336.8,316.59
2024-02-16,IFES Campus Linhares,Commercial rooftop,97.01,250.3,235.28
2024-02-17,IFES Campus Linhares,Commercial rooftop,97.01,385.6,362.46
2024-02-18,IFES Campus Linhares,Commercial rooftop,97.01,247.6,232.74
2024-02-19,IFES Campus Linhares,Commercial rooftop,97.01,467.9,439.83
2024-02-20,IFES Campus Linhares,Commercial rooftop,97.01,218.2,205.11
2024-02-21,IFES Campus Linhares,Commercial rooftop,97.01,224.0,210.56
2024-02-22,IFES Campus Linhares,Commercial rooftop,97.01,321.8,302.49
2024-02-23,IFES Campus Linhares,Commercial rooftop,97.01,322.4,303.06
2024-02-24,IFES Campus Linhares,Commercial rooftop,97.01,512.2,481.47
2024-02-25,IFES Campus Linhares,Commercial rooftop,97.01,488.6,459.28
2024-02-26,IFES Campus Linhares,Commercial rooftop,97.01,523.4,492.0
2024-02-27,IFES Campus Linhares,Commercial rooftop,97.01,464.3,436.44
2024-02-28,IFES Campus Linhares,Commercial rooftop,97.01,548.6,515.68
2024-02-29,IFES Campus Linhares,Commercial rooftop,97.01,347.8,326.93
