Date,Plant,Classification,Capacity(kW),Generation(kWh),Income
2024-10-01,IFES Campus Linhares,Commercial rooftop,97.01,231.4,217.52
2024-10-02,IFES Campus Linhares,Commercial rooftop,97.01,469.9,441.71
2024-10-03,IFES Campus Linhares,Commercial rooftop,97.01,401.1,377.03
2024-10-04,IFES Campus Linhares,Commercial rooftop,97.01,296.6,278.8
2024-10-05,IFES Campus Linhares,Commercial rooftop,97.01,312.0,293.28
2024-10-06,IFES Campus Linhares,Commercial rooftop,97.01,508.5,477.99
2024-10-07,IFES Campus Linhares,Commercial rooftop,97.01,334.3,314.24
2024-10-08,IFES Campus Linhares,Commercial rooftop,97.01,347.9,327.03
2024-10-09,IFES Campus Linhares,Commercial rooftop,97.01,411.8,387.09
2024-10-10,IFES Campus Linhares,Commercial rooftop,97.01,83.4,78.4
2024-10-11,IFES Campus Linhares,Commercial rooftop,97.01,190.0,178.6
2024-10-12,IFES Campus Linhares,Commercial rooftop,97.01,355.6,334.26
2024-10-13,IFES Campus Linhares,Commercial rooftop,97.01,371.0,348.74
2024-10-14,IFES Campus Linhares,Commercial rooftop,97.01,377.1,354.47
2024-10-15,IFES Campus Linhares,Commercial rooftop,97.01,385.6,362.46
2024-10-16,IFES Campus Linhares,Commercial rooftop,97.01,379.0,356.26
2024-10-17,IFES Campus Linhares,Commercial rooftop,97.01,485.9,456.75
2024-10-18,IFES Campus Linhares,Commercial rooftop,97.01,419.3,394.14
2024-10-19,IFES Campus Linhares,Commercial rooftop,97.01,485.1,455.99
2024-10-20,IFES Campus Linhares,Commercial rooftop,97.01,273.9,257.47
2024-10-21,IFES Campus Linhares,Commercial rooftop,97.01,144.2,135.55
2024-10-22,IFES Campus Linhares,Commercial rooftop,97.01,372.5,350.15
2024-10-23,IFES Campus Linhares,Commercial rooftop,97.01,421.4,396.12
2024-10-24,IFES Campus Linhares,Commercial rooftop,97.01,459.4,431.84
2024-10-25,IFES Campus Linhares,Commercial rooftop,97.01,468.3,440.2
2024-10-26,IFES Campus Linhares,Commercial rooftop,97.01,505.3,474.98
2024-10-27,IFES Campus Linhares,Commercial rooftop,97.01,193.9,182.27
2024-10-28,IFES Campus Linhares,Commercial rooftop,97.01,237.2,222.97
2024-10-29,IFES Campus Linhares,Commercial rooftop,97.01,114.2,107.35
2024-10-30,IFES Campus Linhares,Commercial rooftop,97.01,97.8,91.93
2024-10-31,IFES Campus Linhares,Commercial rooftop,97.01,253.6,238.38
