Date,Plant,Classification,Capacity(kW),Generation(kWh),Income
2024-11-01,IFES Campus Linhares,Commercial rooftop,97.01,340.3,319.88
2024-11-02,IFES Campus Linhares,Commercial rooftop,97.01,315.9,296.95
2024-11-03,IFES Campus Linhares,Commercial rooftop,97.01,292.5,274.95
2024-11-04,IFES Campus Linhares,Commercial rooftop,97.01,286.2,269.03
2024-11-05,IFES Campus Linhares,Commercial rooftop,97.01,117.0,109.98
2024-11-06,IFES Campus Linhares,Commercial rooftop,97.01,326.4,306.82
2024-11-07,IFES Campus Linhares,Commercial rooftop,97.01,434.8,408.71
2024-11-08,IFES Campus Linhares,Commercial rooftop,97.01,378.8,356.07
2024-11-09,IFES Campus Linhares,Commercial rooftop,97.01,302.7,284.54
2024-11-10,IFES Campus Linhares,Commercial rooftop,97.01,427.0,401.38
2024-11-11,IFES Campus Linhares,Commercial rooftop,97.01,329.6,309.82
2024-11-12,IFES Campus Linhares,Commercial rooftop,97.01,580.5,545.67
2024-11-13,IFES Campus Linhares,Commercial rooftop,97.01,407.8,383.33
2024-11-14,IFES Campus Linhares,Commercial rooftop,97.01,228.1,214.41
2024-11-15,IFES Campus Linhares,Commercial rooftop,97.01,361.8,340.09
2024-11-16,IFES Campus Linhares,Commercial rooftop,97.01,490.5,461.07
2024-11-17,IFES Campus Linhares,Commercial rooftop,97.01,283.6,266.58
2024-11-18,IFES Campus Linhares,Commercial rooftop,97.01,376.3,353.72
2024-11-19,IFES Campus Linhares,Commercial rooftop,97.01,402.9,378.73
2024-11-20,IFES Campus Linhares,Commercial rooftop,97.01,505.4,475.08
2024-11-21,IFES Campus Linhares,Commercial rooftop,97.01,288.0,270.72
2024-11-22,IFES Campus Linhares,Commercial rooftop,97.01,318.2,299.11
2024-11-23,IFES Campus Linhares,Commercial rooftop,97.01,116.7,109.7
2024-11-24,IFES Campus Linhares,Commercial rooftop,97.01,369.8,347.61
2024-11-25,IFES Campus Linhares,Commercial rooftop,97.01,461.6,433.9
2024-11-26,IFES Campus Linhares,Commercial rooftop,97.01,404.7,380.42
2024-11-27,IFES Campus Linhares,Commercial rooftop,97.01,542.3,509.76
2024-11-28,IFES Campus Linhares,Commercial rooftop,97.01,454.0,426.76
2024-11-29,IFES Campus Linhares,Commercial rooftop,97.01,462.3,434.56
2024-11-30,IFES Campus Linhares,Commercial rooftop,97.01,435.0,408.9
