Date,Plant,Classification,Capacity(kW),Generation(kWh),Income
2025-11-01,IFES Campus Linhares,Commercial rooftop,97.01,346.2,325.43
2025-11-02,IFES Campus Linhares,Commercial rooftop,97.01,459.6,432.02
2025-11-03,IFES Campus Linhares,Commercial rooftop,97.01,432.9,406.93
2025-11-04,IFES Campus Linhares,Commercial rooftop,97.01,295.0,277.3
2025-11-05,IFES Campus Linhares,Commercial rooftop,97.01,424.5,399.03
2025-11-06,IFES Campus Linhares,Commercial rooftop,97.01,268.4,252.3
2025-11-07,IFES Campus Linhares,Commercial rooftop,97.01,194.0,182.36
2025-11-08,IFES Campus Linhares,Commercial rooftop,97.01,300.7,282.66
2025-11-09,IFES Campus Linhares,Commercial rooftop,97.01,250.4,235.38
2025-11-10,IFES Campus Linhares,Commercial rooftop,97.01,232.8,218.83
2025-11-11,IFES Campus Linhares,Commercial rooftop,97.01,206.1,193.73
2025-11-12,IFES Campus Linhares,Commercial rooftop,97.01,443.1,416.51
2025-11-13,IFES Campus Linhares,Commercial rooftop,97.01,334.0,313.96
2025-11-14,IFES Campus Linhares,Commercial rooftop,97.01,414.1,389.25
2025-11-15,IFES Campus Linhares,Commercial rooftop,97.01,394.3,370.64
2025-11-16,IFES Campus Linhares,Commercial rooftop,97.01,444.5,417.83
2025-11-17,IFES Campus Linhares,Commercial rooftop,97.01,266.2,250.23
2025-11-18,IFES Campus Linhares,Commercial rooftop,97.01,481.1,452.23
2025-11-19,IFES Campus Linhares,Commercial rooftop,97.01,273.0,256.62
2025-11-20,IFES Campus Linhares,Commercial rooftop,97.01,538.6,506.28
2025-11-21,IFES Campus Linhares,Commercial rooftop,97.01,542.7,510.14
2025-11-22,IFES Campus Linhares,Commercial rooftop,97.01,563.6,529.78
2025-11-23,IFES Campus Linhares,Commercial rooftop,97.01,299.4,281.44
2025-11-24,IFES Campus Linhares,Commercial rooftop,97.01,115.3,108.38
2025-11-25,IFES Campus Linhares,Commercial rooftop,97.01,424.7,399.22
2025-11-26,IFES Campus Linhares,Commercial rooftop,97.01,210.4,197.78
2025-11-27,IFES Campus Linhares,Commercial rooftop,97.01,468.4,440.3
2025-11-28,IFES Campus Linhares,Commercial rooftop,97.01,351.5,330.41
2025-11-29,IFES Campus Linhares,Commercial rooftop,97.01,469.3,441.14
2025-11-30,IFES Campus Linhares,Commercial rooftop,97.01,515.9,484.95
