Date,Plant,Classification,Capacity(kW),Generation(kWh),Income
2025-01-01,IFES Campus Linhares,Commercial rooftop,97.01,157.3,147.86
2025-01-02,IFES Campus Linhares,Commercial rooftop,97.01,399.7,375.72
2025-01-03,IFES Campus Linhares,Commercial rooftop,97.01,226.1,212.53
2025-01-04,IFES Campus Linhares,Commercial rooftop,97.01,191.6,180.1
2025-01-05,IFES Campus Linhares,Commercial rooftop,97.01,109.6,103.02
2025-01-06,IFES Campus Linhares,Commercial rooftop,97.01,384.8,361.71
2025-01-07,IFES Campus Linhares,Commercial rooftop,97.01,375.3,352.78
2025-01-08,IFES Campus Linhares,Commercial rooftop,97.01,390.4,366.98
2025-01-09,IFES Campus Linhares,Commercial rooftop,97.01,278.7,261.98
2025-01-10,IFES Campus Linhares,Commercial rooftop,97.01,241.6,227.1
2025-01-11,IFES Campus Linhares,Commercial rooftop,97.01,373.2,350.81
2025-01-12,IFES Campus Linhares,Commercial rooftop,97.01,429.3,403.54
2025-01-13,IFES Campus Linhares,Commercial rooftop,97.01,328.5,308.79
2025-01-14,IFES Campus Linhares,Commercial rooftop,97.01,175.9,165.35
2025-01-15,IFES Campus Linhares,Commercial rooftop,97.01,329.8,310.01
2025-01-16,IFES Campus Linhares,Commercial rooftop,97.01,415.2,390.29
2025-01-17,IFES Campus Linhares,Commercial rooftop,97.01,431.0,405.14
2025-01-18,IFES Campus Linhares,Commercial rooftop,97.01,516.7,485.7
2025-01-19,IFES Campus Linhares,Commercial rooftop,97.01,541.5,509.01
2025-01-20,IFES Campus Linhares,Commercial rooftop,97.01,485.8,456.65
2025-01-21,IFES Campus Linhares,Commercial rooftop,97.01,546.4,513.62
2025-01-22,IFES Campus Linhares,Commercial rooftop,97.01,509.2,478.65
2025-01-23,IFES Campus Linhares,Commercial rooftop,97.01,515.4,484.48
2025-01-24,IFES Campus Linhares,Commercial rooftop,97.01,345.7,324.96
2025-01-25,IFES Campus Linhares,Commercial rooftop,97.01,391.1,367.63
2025-01-26,IFES Campus Linhares,Commercial rooftop,97.01,165.1,155.19
2025-01-27,IFES Campus Linhares,Commercial rooftop,97.01,448.6,421.68
2025-01-28,IFES Campus Linhares,Commercial rooftop,97.01,473.9,445.47
2025-01-29,IFES Campus Linhares,Commercial rooftop,97.01,432.1,406.17
2025-01-30,IFES Campus Linhares,Commercial rooftop,97.01,501.6,471.5
2025-01-31,IFES Campus Linhares,Commercial rooftop,97.01,447.3,420.46
