Date,Plant,Classification,Capacity(kW),Generation(kWh),Income
2025-06-01,IFES Campus Linhares,Commercial rooftop,97.01,228.1,214.41
2025-06-02,IFES Campus Linhares,Commercial rooftop,97.01,198.7,186.78
2025-06-03,IFES Campus Linhares,Commercial rooftop,97.01,223.1,209.71
2025-06-04,IFES Campus Linhares,Commercial rooftop,97.01,327.6,307.94
2025-06-05,IFES Campus Linhares,Commercial rooftop,97.01,343.9,323.27
2025-06-06,IFES Campus Linhares,Commercial rooftop,97.01,332.2,312.27
2025-06-07,IFES Campus Linhares,Commercial rooftop,97.01,217.1,204.07
2025-06-08,IFES Campus Linhares,Commercial rooftop,97.01,309.8,291.21
2025-06-09,IFES Campus Linhares,Commercial rooftop,97.01,323.2,303.81
2025-06-10,IFES Campus Linhares,Commercial rooftop,97.01,231.6,217.7
2025-06-11,IFES Campus Linhares,Commercial rooftop,97.01,139.9,131.51
2025-06-12,IFES Campus Linhares,Commercial rooftop,97.01,272.0,255.68
2025-06-13,IFES Campus Linhares,Commercial rooftop,97.01,251.5,236.41
2025-06-14,IFES Campus Linhares,Commercial rooftop,97.01,320.8,301.55
2025-06-15,IFES Campus Linhares,Commercial rooftop,97.01,194.6,182.92
2025-06-16,IFES Campus Linhares,Commercial rooftop,97.01,211.7,199.0
2025-06-17,IFES Campus Linhares,Commercial rooftop,97.01,281.4,264.52
2025-06-18,IFES Campus Linhares,Commercial rooftop,97.01,256.8,241.39
2025-06-19,IFES Campus Linhares,Commercial rooftop,97.01,185.6,174.46
2025-06-20,IFES Campus Linhares,Commercial rooftop,97.01,301.6,283.5
2025-06-21,IFES Campus Linhares,Commercial rooftop,97.01,334.4,314.34
2025-06-22,IFES Campus Linhares,Commercial rooftop,97.01,317.3,298.26
2025-06-23,IFES Campus Linhares,Commercial rooftop,97.01,282.7,265.74
2025-06-24,IFES Campus Linhares,Commercial rooftop,97.01,323.2,303.81
2025-06-25,IFES Campus Linhares,Commercial rooftop,97.01,196.5,184.71
2025-06-26,IFES Campus Linhares,Commercial rooftop,97.01,264.6,248.72
2025-06-27,IFES Campus Linhares,Commercial rooftop,97.01,282.8,265.83
2025-06-28,IFES Campus Linhares,Commercial rooftop,97.01,192.6,181.04
2025-06-29,IFES Campus Linhares,Commercial rooftop,97.01,319.7,300.52
2025-06-30,IFES Campus Linhares,Commercial rooftop,97.01,339.1,318.75
