Date,Plant,Classification,Capacity(kW),Generation(kWh),Income
2025-12-01,IFES Campus Linhares,Commercial rooftop,97.01,469.8,441.61
2025-12-02,IFES Campus Linhares,Commercial rooftop,97.01,558.0,524.52
2025-12-03,IFES Campus Linhares,Commercial rooftop,97.01,193.2,181.61
2025-12-04,IFES Campus Linhares,Commercial rooftop,97.01,235.0,220.9
2025-12-05,IFES Campus Linhares,Commercial rooftop,97.01,372.5,350.15
2025-12-06,IFES Campus Linhares,Commercial rooftop,97.01,231.6,217.7
2025-12-07,IFES Campus Linhares,Commercial rooftop,97.01,321.7,302.4
2025-12-08,IFES Campus Linhares,Commercial rooftop,97.01,465.3,437.38
2025-12-09,IFES Campus Linhares,Commercial rooftop,97.01,460.1,432.49
2025-12-10,IFES Campus Linhares,Commercial rooftop,97.01,350.6,329.56
2025-12-11,IFES Campus Linhares,Commercial rooftop,97.01,459.9,432.31
2025-12-12,IFES Campus Linhares,Commercial rooftop,97.01,444.5,417.83
2025-12-13,IFES Campus Linhares,Commercial rooftop,97.01,324.7,305.22
2025-12-14,IFES Campus Linhares,Commercial rooftop,97.01,299.4,281.44
2025-12-15,IFES Campus Linhares,Commercial rooftop,97.01,428.0,402.32
2025-12-16,IFES Campus Linhares,Commercial rooftop,97.01,376.8,354.19
2025-12-17,IFES Campus Linhares,Commercial rooftop,97.01,435.3,409.18
2025-12-18,IFES Campus Linhares,Commercial rooftop,97.01,368.1,346.01
2025-12-19,IFES Campus Linhares,Commercial rooftop,97.01,450.0,423.0
2025-12-20,IFES Campus Linhares,Commercial rooftop,97.01,225.7,212.16
2025-12-21,IFES Campus Linhares,Commercial rooftop,97.01,457.8,430.33
2025-12-22,IFES Campus Linhares,Commercial rooftop,97.01,411.4,386.72
2025-12-23,IFES Campus Linhares,Commercial rooftop,97.01,456.1,428.73
2025-12-24,IFES Campus Linhares,Commercial rooftop,97.01,441.3,414.82
2025-12-25,IFES Campus Linhares,Commercial rooftop,97.01,481.0,452.14
2025-12-26,IFES Campus Linhares,Commercial rooftop,97.01,535.7,503.56
2025-12-27,IFES Campus Linhares,Commercial rooftop,97.01,495.7,465.96
2025-12-28,IFES Campus Linhares,Commercial rooftop,97.01,526.7,495.1
2025-12-29,IFES Campus Linhares,Commercial rooftop,97.01,559.0,525.46
2025-12-30,IFES Campus Linhares,Commercial rooftop,97.01,503.1,472.91
2025-12-31,IFES Campus Linhares,Commercial rooftop,97.01,482.7,453.74
