Date,Plant,Classification,Capacity(kW),Generation(kWh),Income
2025-05-01,IFES Campus Linhares,Commercial rooftop,97.01,169.9,159.71
2025-05-02,IFES Campus Linhares,Commercial rooftop,97.01,355.6,334.26
2025-05-03,IFES Campus Linhares,Commercial rooftop,97.01,344.5,323.83
2025-05-04,IFES Campus Linhares,Commercial rooftop,97.01,356.2,334.83
2025-05-05,IFES Campus Linhares,Commercial rooftop,97.01,276.2,259.63
2025-05-06,IFES Campus Linhares,Commercial rooftop,97.01,243.4,228.8
2025-05-07,IFES Campus Linhares,Commercial rooftop,97.01,276.1,259.53
2025-05-08,IFES Campus Linhares,Commercial rooftop,97.01,231.8,217.89
2025-05-09,IFES Campus Linhares,Commercial rooftop,97.01,345.0,324.3
2025-05-10,IFES Campus Linhares,Commercial rooftop,97.01,327.8,308.13
2025-05-11,IFES Campus Linhares,Commercial rooftop,97.01,328.6,308.88
2025-05-12,IFES Campus Linhares,Commercial rooftop,97.01,209.6,197.02
2025-05-13,IFES Campus Linhares,Commercial rooftop,97.01,187.4,176.16
2025-05-14,IFES Campus Linhares,Commercial rooftop,97.01,222.9,209.53
2025-05-15,IFES Campus Linhares,Commercial rooftop,97.01,270.7,254.46
2025-05-16,IFES Campus Linhares,Commercial rooftop,97.01,230.4,216.58
2025-05-17,IFES Campus Linhares,Commercial rooftop,97.01,292.2,274.67
2025-05-18,IFES Campus Linhares,Commercial rooftop,97.01,277.9,261.23
2025-05-19,IFES Campus Linhares,Commercial rooftop,97.01,254.5,239.23
2025-05-20,IFES Campus Linhares,Commercial rooftop,97.01,303.3,285.1
2025-05-21,IFES Campus Linhares,Commercial rooftop,97.01,132.2,124.27
2025-05-22,IFES Campus Linhares,Commercial rooftop,97.01,238.5,224.19
2025-05-23,IFES Campus Linhares,Commercial rooftop,97.01,350.4,329.38
2025-05-24,IFES Campus Linhares,Commercial rooftop,97.01,322.0,302.68
2025-05-25,IFES Campus Linhares,Commercial rooftop,97.01,244.6,229.92
2025-05-26,IFES Campus Linhares,Commercial rooftop,97.01,192.3,180.76
2025-05-27,IFES Campus Linhares,Commercial rooftop,97.01,258.8,243.27
2025-05-28,IFES Campus Linhares,Commercial rooftop,97.01,211.6,198.9
2025-05-29,IFES Campus Linhares,Commercial rooftop,97.01,176.3,165.72
2025-05-30,IFES Campus Linhares,Commercial rooftop,97.01,184.0,172.96
2025-05-31,IFES Campus Linhares,Commercial rooftop,97.01,195.3,183.58
