Date,Plant,Classification,Capacity(kW),Generation(kWh),Income
2025-04-01,IFES Campus Linhares,Commercial rooftop,97.01,308.3,289.8
2025-04-02,IFES Campus Linhares,Commercial rooftop,97.01,290.0,272.6
2025-04-03,IFES Campus Linhares,Commercial rooftop,97.01,333.7,313.68
2025-04-04,IFES Campus Linhares,Commercial rooftop,97.01,367.6,345.54
2025-04-05,IFES Campus Linhares,Commercial rooftop,97.01,358.6,337.08
2025-04-06,IFES Campus Linhares,Commercial rooftop,97.01,343.1,322.51
2025-04-07,IFES Campus Linhares,Commercial rooftop,97.01,239.7,225.32
2025-04-08,IFES Campus Linhares,Commercial rooftop,97.01,336.2,316.03
2025-04-09,IFES Campus Linhares,Commercial rooftop,97.01,314.1,295.25
2025-04-10,IFES Campus Linhares,Commercial rooftop,97.01,293.6,275.98
2025-04-11,IFES Campus Linhares,Commercial rooftop,97.01,323.8,304.37
2025-04-12,IFES Campus Linhares,Commercial rooftop,97.01,409.5,384.93
2025-04-13,IFES Campus Linhares,Commercial rooftop,97.01,402.8,378.63
2025-04-14,IFES Campus Linhares,Commercial rooftop,97.01,356.8,335.39
2025-04-15,IFES Campus Linhares,Commercial rooftop,97.01,422.2,396.87
2025-04-16,IFES Campus Linhares,Commercial rooftop,97.01,236.9,222.69
2025-04-17,IFES Campus Linhares,Commercial rooftop,97.01,130.0,122.2
2025-04-18,IFES Campus Linhares,Commercial rooftop,97.01,152.8,143.63
2025-04-19,IFES Campus Linhares,Commercial rooftop,97.01,203.5,191.29
2025-04-20,IFES Campus Linhares,Commercial rooftop,97.01,362.9,341.13
2025-04-21,IFES Campus Linhares,Commercial rooftop,97.01,292.8,275.23
2025-04-22,IFES Campus Linhares,Commercial rooftop,97.01,144.2,135.55
2025-04-23,IFES Campus Linhares,Commercial rooftop,97.01,226.5,212.91
2025-04-24,IFES Campus Linhares,Commercial rooftop,97.01,348.0,327.12
2025-04-25,IFES Campus Linhares,Commercial rooftop,97.01,260.1,244.49
2025-04-26,IFES Campus Linhares,Commercial rooftop,97.01,329.7,309.92
2025-04-27,IFES Campus Linhares,Commercial rooftop,97.01,352.7,331.54
2025-04-28,IFES Campus Linhares,Commercial rooftop,97.01,359.1,337.55
2025-04-29,IFES Campus Linhares,Commercial rooftop,97.01,308.8,290.27
2025-04-30,IFES Campus Linhares,Commercial rooftop,97.01,98.4,92.5
