Date,Plant,Classification,Capacity(kW),Generation(kWh),Income
2025-10-01,IFES Campus Linhares,Commercial rooftop,97.01,381.9,358.99
2025-10-02,IFES Campus Linhares,Commercial rooftop,97.01,364.4,342.54
2025-10-03,IFES Campus Linhares,Commercial rooftop,97.01,363.3,341.5
2025-10-04,IFES Campus Linhares,Commercial rooftop,97.01,402.2,378.07
2025-10-05,IFES Campus Linhares,Commercial rooftop,97.01,298.0,280.12
2025-10-06,IFES Campus Linhares,Commercial rooftop,97.01,388.8,365.47
2025-10-07,IFES Campus Linhares,Commercial rooftop,97.01,409.1,384.55
2025-10-08,IFES Campus Linhares,Commercial rooftop,97.01,302.0,283.88
2025-10-09,IFES Campus Linhares,Commercial rooftop,97.01,246.1,231.33
2025-10-10,IFES Campus Linhares,Commercial rooftop,97.01,356.1,334.73
2025-10-11,IFES Campus Linhares,Commercial rooftop,97.01,387.9,364.63
2025-10-12,IFES Campus Linhares,Commercial rooftop,97.01,332.4,312.46
2025-10-13,IFES Campus Linhares,Commercial rooftop,97.01,391.6,368.1
2025-10-14,IFES Campus Linhares,Commercial rooftop,97.01,258.8,243.27
2025-10-15,IFES Campus Linhares,Commercial rooftop,97.01,134.7,126.62
2025-10-16,IFES Campus Linhares,Commercial rooftop,97.01,254.6,239.32
2025-10-17,IFES Campus Linhares,Commercial rooftop,97.01,443.5,416.89
2025-10-18,IFES Campus Linhares,Commercial rooftop,97.01,457.7,430.24
2025-10-19,IFES Campus Linhares,Commercial rooftop,97.01,134.7,126.62
2025-10-20,IFES Campus Linhares,Commercial rooftop,97.01,142.9,134.33
2025-10-21,IFES Campus Linhares,Commercial rooftop,97.01,252.8,237.63
2025-10-22,IFES Campus Linhares,Commercial rooftop,97.01,415.5,390.57
2025-10-23,IFES Campus Linhares,Commercial rooftop,97.01,268.9,252.77
2025-10-24,IFES Campus Linhares,Commercial rooftop,97.01,300.0,282.0
2025-10-25,IFES Campus Linhares,Commercial rooftop,97.01,231.9,217.99
2025-10-26,IFES Campus Linhares,Commercial rooftop,97.01,413.7,388.88
2025-10-27,IFES Campus Linhares,Commercial rooftop,97.01,471.8,443.49
2025-10-28,IFES Campus Linhares,Commercial rooftop,97.01,442.5,415.95
2025-10-29,IFES Campus Linhares,Commercial rooftop,97.01,437.9,411.63
2025-10-30,IFES Campus Linhares,Commercial rooftop,97.01,309.6,291.02
2025-10-31,IFES Campus Linhares,Commercial rooftop,97.01,186.8,175.59
