Date,Plant,Classification,Capacity(kW),Generation(kWh),Income
2025-08-01,IFES Campus Linhares,Commercial rooftop,97.01,370.5,348.27
2025-08-02,IFES Campus Linhares,Commercial rooftop,97.01,268.4,252.3
2025-08-03,IFES Campus Linhares,Commercial rooftop,97.01,312.6,293.84
2025-08-04,IFES Campus Linhares,Commercial rooftop,97.01,283.5,266.49
2025-08-05,IFES Campus Linhares,Commercial rooftop,97.01,289.4,272.04
2025-08-06,IFES Campus Linhares,Commercial rooftop,97.01,322.1,302.77
2025-08-07,IFES Campus Linhares,Commercial rooftop,97.01,355.7,334.36
2025-08-08,IFES Campus Linhares,Commercial rooftop,97.01,359.9,338.31
2025-08-09,IFES Campus Linhares,Commercial rooftop,97.01,383.4,360.4
2025-08-10,IFES Campus Linhares,Commercial rooftop,97.01,184.9,173.81
2025-08-11,IFES Campus Linhares,Commercial rooftop,97.01,200.1,188.09
2025-08-12,IFES Campus Linhares,Commercial rooftop,97.01,160.7,151.06
2025-08-13,IFES Campus Linhares,Commercial rooftop,97.01,246.8,231.99
2025-08-14,IFES Campus Linhares,Commercial rooftop,97.01,407.3,382.86
2025-08-15,IFES Campus Linhares,Commercial rooftop,97.01,334.3,314.24
2025-08-16,IFES Campus Linhares,Commercial rooftop,97.01,247.2,232.37
2025-08-17,IFES Campus Linhares,Commercial rooftop,97.01,321.8,302.49
2025-08-18,IFES Campus Linhares,Commercial rooftop,97.01,209.7,197.12
2025-08-19,IFES Campus Linhares,Commercial rooftop,97.01,285.8,268.65
2025-08-20,IFES Campus Linhares,Commercial rooftop,97.01,326.9,307.29
2025-08-21,IFES Campus Linhares,Commercial rooftop,97.01,352.7,331.54
2025-08-22,IFES Campus Linhares,Commercial rooftop,97.01,305.7,287.36
2025-08-23,IFES Campus Linhares,Commercial rooftop,97.01,284.8,267.71
2025-08-24,IFES Campus Linhares,Commercial rooftop,97.01,339.3,318.94
2025-08-25,IFES Campus Linhares,Commercial rooftop,97.01,267.1,251.07
2025-08-26,IFES Campus Linhares,Commercial rooftop,97.01,386.1,362.93
2025-08-27,IFES Campus Linhares,Commercial rooftop,97.01,380.8,357.95
2025-08-28,IFES Campus Linhares,Commercial rooftop,97.01,421.5,396.21
2025-08-29,IFES Campus Linhares,Commercial rooftop,97.01,336.2,316.03
2025-08-30,IFES Campus Linhares,Commercial rooftop,97.01,321.1,301.83
2025-08-31,IFES Campus Linhares,Commercial rooftop,97.01,282.8,265.83
