Date,Plant,Classification,Capacity(kW),Generation(kWh),Income
2025-09-01,IFES Campus Linhares,Commercial rooftop,97.01,338.7,318.38
2025-09-02,IFES Campus Linhares,Commercial rooftop,97.01,331.4,311.52
2025-09-03,IFES Campus Linhares,Commercial rooftop,97.01,422.3,396.96
2025-09-04,IFES Campus Linhares,Commercial rooftop,97.01,282.7,265.74
2025-09-05,IFES Campus Linhares,Commercial rooftop,97.01,364.9,343.01
2025-09-06,IFES Campus Linhares,Commercial rooftop,97.01,454.4,427.14
2025-09-07,IFES Campus Linhares,Commercial rooftop,97.01,432.7,406.74
2025-09-08,IFES Campus Linhares,Commercial rooftop,97.01,201.3,189.22
2025-09-09,IFES Campus Linhares,Commercial rooftop,97.01,325.7,306.16
2025-09-10,IFES Campus Linhares,Commercial rooftop,97.01,449.7,422.72
2025-09-11,IFES Campus Linhares,Commercial rooftop,97.01,371.3,349.02
2025-09-12,IFES Campus Linhares,Commercial rooftop,97.01,336.4,316.22
2025-09-13,IFES Campus Linhares,Commercial rooftop,97.01,120.5,113.27
2025-09-14,IFES Campus Linhares,Commercial rooftop,97.01,201.3,189.22
2025-09-15,IFES Campus Linhares,Commercial rooftop,97.01,309.0,290.46
2025-09-16,IFES Campus Linhares,Commercial rooftop,97.01,329.5,309.73
2025-09-17,IFES Campus Linhares,Commercial rooftop,97.01,400.7,376.66
2025-09-18,IFES Campus Linhares,Commercial rooftop,97.01,183.3,172.3
2025-09-19,IFES Campus Linhares,Commercial rooftop,97.01,363.0,341.22
2025-09-20,IFES Campus Linhares,Commercial rooftop,97.01,233.8,219.77
2025-09-21,IFES Campus Linhares,Commercial rooftop,97.01,361.4,339.72
2025-09-22,IFES Campus Linhares,Commercial rooftop,97.01,432.6,406.64
2025-09-23,IFES Campus Linhares,Commercial rooftop,97.01,240.2,225.79
2025-09-24,IFES Campus Linhares,Commercial rooftop,97.01,354.4,333.14
2025-09-25,IFES Campus Linhares,Commercial rooftop,97.01,249.7,234.72
2025-09-26,IFES Campus Linhares,Commercial rooftop,97.01,315.4,296.48
2025-09-27,IFES Campus Linhares,Commercial rooftop,97.01,513.1,482.31
2025-09-28,IFES Campus Linhares,Commercial rooftop,97.01,421.2,395.93
2025-09-29,IFES Campus Linhares,Commercial rooftop,97.01,508.8,478.27
2025-09-30,IFES Campus Linhares,Commercial rooftop,97.01,340.4,319.98
