Date,Plant,Classification,Capacity(kW),Generation(kWh),Income
2025-02-01,IFES Campus Linhares,Commercial rooftop,97.01,491.9,462.39
2025-02-02,IFES Campus Linhares,Commercial rooftop,97.01,520.9,489.65
2025-02-03,IFES Campus Linhares,Commercial rooftop,97.01,502.9,472.73
2025-02-04,IFES Campus Linhares,Commercial rooftop,97.01,490.7,461.26
2025-02-05,IFES Campus Linhares,Commercial rooftop,97.01,493.8,464.17
2025-02-06,IFES Campus Linhares,Commercial rooftop,97.01,420.5,395.27
2025-02-07,IFES Campus Linhares,Commercial rooftop,97.01,358.0,336.52
2025-02-08,IFES Campus Linhares,Commercial rooftop,97.01,364.9,343.01
2025-02-09,IFES Campus Linhares,Commercial rooftop,97.01,435.6,409.46
2025-02-10,IFES Campus Linhares,Commercial rooftop,97.01,438.5,412.19
2025-02-11,IFES Campus Linhares,Commercial rooftop,97.01,388.1,364.81
2025-02-12,IFES Campus Linhares,Commercial rooftop,97.01,489.4,460.04
2025-02-13,IFES Campus Linhares,Commercial rooftop,97.01,403.5,379.29
2025-02-14,IFES Campus Linhares,Commercial rooftop,97.01,161.1,151.43
2025-02-15,IFES Campus Linhares,Commercial rooftop,97.01,485.5,456.37
2025-02-16,IFES Campus Linhares,Commercial rooftop,97.01,487.2,457.97
2025-02-17,IFES Campus Linhares,Commercial rooftop,97.01,499.9,469.91
2025-02-18,IFES Campus Linhares,Commercial rooftop,97.01,506.2,475.83
2025-02-19,IFES Campus Linhares,Commercial rooftop,97.01,492.8,463.23
2025-02-20,IFES Campus Linhares,Commercial rooftop,97.01,363.1,341.31
2025-02-21,IFES Campus Linhares,Commercial rooftop,97.01,236.4,222.22
2025-02-22,IFES Campus Linhares,Commercial rooftop,97.01,490.9,461.45
2025-02-23,IFES Campus Linhares,Commercial rooftop,97.01,449.6,422.62
2025-02-24,IFES Campus Linhares,Commercial rooftop,97.01,381.7,358.8
2025-02-25,IFES Campus Linhares,Commercial rooftop,97.01,438.0,411.72
2025-02-26,IFES Campus Linhares,Commercial rooftop,97.01,386.0,362.84
2025-02-27,IFES Campus Linhares,Commercial rooftop,97.01,445.8,419.05
2025-02-28,IFES Campus Linhares,Commercial rooftop,97.01,414.3,389.44
