Date,Plant,Classification,Capacity(kW),Generation(kWh),Income
2025-07-01,IFES Campus Linhares,Commercial rooftop,97.01,286.5,269.31
2025-07-02,IFES Campus Linhares,Commercial rooftop,97.01,145.1,136.39
2025-07-03,IFES Campus Linhares,Commercial rooftop,97.01,115.6,108.66
2025-07-04,IFES Campus Linhares,Commercial rooftop,97.01,243.8,229.17
2025-07-05,IFES Campus Linhares,Commercial rooftop,97.01,322.0,302.68
2025-07-06,IFES Campus Linhares,Commercial rooftop,97.01,348.2,327.31
2025-07-07,IFES Campus Linhares,Commercial rooftop,97.01,333.8,313.77
2025-07-08,IFES Campus Linhares,Commercial rooftop,97.01,200.4,188.38
2025-07-09,IFES Campus Linhares,Commercial rooftop,97.01,183.2,172.21
2025-07-10,IFES Campus Linhares,Commercial rooftop,97.01,247.7,232.84
2025-07-11,IFES Campus Linhares,Commercial rooftop,97.01,207.0,194.58
2025-07-12,IFES Campus Linhares,Commercial rooftop,97.01,244.9,230.21
2025-07-13,IFES Campus Linhares,Commercial rooftop,97.01,295.5,277.77
2025-07-14,IFES Campus Linhares,Commercial rooftop,97.01,286.3,269.12
2025-07-15,IFES Campus Linhares,Commercial rooftop,97.01,282.2,265.27
2025-07-16,IFES Campus Linhares,Commercial rooftop,97.01,333.1,313.11
2025-07-17,IFES Campus Linhares,Commercial rooftop,97.01,344.2,323.55
2025-07-18,IFES Campus Linhares,Commercial rooftop,97.01,338.4,318.1
2025-07-19,IFES Campus Linhares,Commercial rooftop,97.01,253.9,238.67
2025-07-20,IFES Campus Linhares,Commercial rooftop,97.01,343.3,322.7
2025-07-21,IFES Campus Linhares,Commercial rooftop,97.01,305.0,286.7
2025-07-22,IFES Campus Linhares,Commercial rooftop,97.01,328.9,309.17
2025-07-23,IFES Campus Linhares,Commercial rooftop,97.01,330.1,310.29
2025-07-24,IFES Campus Linhares,Commercial rooftop,97.01,319.5,300.33
2025-07-25,IFES Campus Linhares,Commercial rooftop,97.01,263.2,247.41
2025-07-26,IFES Campus Linhares,Commercial rooftop,97.01,215.5,202.57
2025-07-27,IFES Campus Linhares,Commercial rooftop,97.01,262.7,246.94
2025-07-28,IFES Campus Linhares,Commercial rooftop,97.01,306.6,288.2
2025-07-29,IFES Campus Linhares,Commercial rooftop,97.01,359.2,337.65
2025-07-30,IFES Campus Linhares,Commercial rooftop,97.01,289.5,272.13
2025-07-31,IFES Campus Linhares,Commercial rooftop,97.01,355.0,333.7
