Date,Plant,Classification,Capacity(kW),Generation(kWh),Income
2025-03-01,IFES Campus Linhares,Commercial rooftop,97.01,451.3,424.22
2025-03-02,IFES Campus Linhares,Commercial rooftop,97.01,447.7,420.84
2025-03-03,IFES Campus Linhares,Commercial rooftop,97.01,373.9,351.47
2025-03-04,IFES Campus Linhares,Commercial rooftop,97.01,480.5,451.67
2025-03-05,IFES Campus Linhares,Commercial rooftop,97.01,470.6,442.36
2025-03-06,IFES Campus Linhares,Commercial rooftop,97.01,487.0,457.78
2025-03-07,IFES Campus Linhares,Commercial rooftop,97.01,531.3,499.42
2025-03-08,IFES Campus Linhares,Commercial rooftop,97.01,231.3,217.42
2025-03-09,IFES Campus Linhares,Commercial rooftop,97.01,385.9,362.75
2025-03-10,IFES Campus Linhares,Commercial rooftop,97.01,488.1,458.81
2025-03-11,IFES Campus Linhares,Commercial rooftop,97.01,409.1,384.55
2025-03-12,IFES Campus Linhares,Commercial rooftop,97.01,344.0,323.36
2025-03-13,IFES Campus Linhares,Commercial rooftop,97.01,413.1,388.31
2025-03-14,IFES Campus Linhares,Commercial rooftop,97.01,410.8,386.15
2025-03-15,IFES Campus Linhares,Commercial rooftop,97.01,406.9,382.49
2025-03-16,IFES Campus Linhares,Commercial rooftop,97.01,376.5,353.91
2025-03-17,IFES Campus Linhares,Commercial rooftop,97.01,380.3,357.48
2025-03-18,IFES Campus Linhares,Commercial rooftop,97.01,309.4,290.84
2025-03-19,IFES Campus Linhares,Commercial rooftop,97.01,476.2,447.63
2025-03-20,IFES Campus Linhares,Commercial rooftop,97.01,263.8,247.97
2025-03-21,IFES Campus Linhares,Commercial rooftop,97.01,348.5,327.59
2025-03-22,IFES Campus Linhares,Commercial rooftop,97.01,334.0,313.96
2025-03-23,IFES Campus Linhares,Commercial rooftop,97.01,360.9,339.25
2025-03-24,IFES Campus Linhares,Commercial rooftop,97.01,320.2,300.99
2025-03-25,IFES Campus Linhares,Commercial rooftop,97.01,478.1,449.41
2025-03-26,IFES Campus Linhares,Commercial rooftop,97.01,124.1,116.65
2025-03-27,IFES Campus Linhares,Commercial rooftop,97.01,294.0,276.36
2025-03-28,IFES Campus Linhares,Commercial rooftop,97.01,455.6,428.26
2025-03-29,IFES Campus Linhares,Commercial rooftop,97.01,477.3,448.66
2025-03-30,IFES Campus Linhares,Commercial rooftop,97.01,402.5,378.35
2025-03-31,IFES Campus Linhares,Commercial rooftop,97.01,378.5,355.79
